ORF,Gene,Heat 0' (A),Heat 0' (B),Heat 15',Heat 30',Heat 45',Heat 60',Heat 120'
YAL001C,TFC3,126,114.6,127.9,208.2,178.4,85.6,59.3
YAL002W,VPS8,54,42,70.2,112.9,151.7,106.8,117.8
YAL003W,EFB1,9651,7004,7530.4,7286.2,7129,7351.7,6468.4
YAL004W,YAL004W,30,33.6,101.3,158.6,54.7,35.9,120.3
YAL005C,SSA1,1816,1394.8,4185.5,6146.8,4823.2,4233.3,5565.6
YAL007C,ERP2,406,318.5,585.6,870.9,1098.9,593.8,686.7
YAL008W,YAL008W,82,94.7,457.7,436.9,470,304.7,472.9
YAL009W,SPO7,112,77.2,215.9,138.2,221.3,221.9,192.6
YAL010C,MDM10,77,63.4,120.5,82.7,124.3,129.8,176.3
YAL011W,YAL011W,224,126,227,308.5,177.7,223.7,199.1
YAL012W,CYS3,5469,3384,3979.2,5270.1,4816.7,5199.1,3556.8
YAL013W,DEP1,350,171.1,328.3,326,273.4,419.8,283.6
YAL014C,YAL014C,418,254.4,488,490.4,572.2,590.2,541.2
YAL015C,NTG1,113,80.2,286.9,294.8,334.6,302,346.2
YAL016W,TPD3,937,530.1,1214,1408,1274.6,932.7,1266.9
YAL017W,YAL017W,89,62.6,305.4,215,174.5,150.1,291.7
YAL018C,YAL018C,20,20,20,24.3,20,20,34.1
YAL019W,YAL019W,330,161.9,205.5,509.9,533.2,428.1,427.4
YAL020C,ATS1,183,117.6,277.3,353.2,345,362.7,324.2
YAL021C,CCR4,498,261.2,438.4,383.4,609.3,368.3,463.2
YAL022C,YAL022C,320,200.1,360.1,484.6,421.2,367.4,321
YAL023C,PMT2,1181,776.9,1253.2,1984.1,1897,1674.7,1166.1
YAL024C,LTE1,54,29.8,48.1,20,70.3,59.8,169.8
YAL025C,MAK16,749,322.4,459.9,888.4,974.5,874.6,810.2
YAL026C,DRS2,50,50.4,117.6,181,225.9,81,65.8
YAL027W,YAL027W,163,116.1,268.4,255.9,290.3,267.9,315.3
YAL028W,YAL028W,57,20,71.7,103.1,90.5,62.6,144.6
YAL029C,MYO4,365,330,205.5,423.3,397.1,463.1,280.4
YAL030W,SNC1,543,444.6,1446.9,1304.9,1350.8,1129.7,1498.5
YAL031C,YAL031C,143,55.8,169.3,106.1,145.2,107.7,216.2
YAL032C,YAL032C,67,20,79.9,74,59.2,57.1,82.9
YAL033W,POP5,301,210.8,164.1,369.8,358,296.5,352.7
YAL034C,YAL034C,49,56.5,86.5,76.9,83.3,48.8,97.5
YAL034W-A,YAL034W-A,42,20,53.2,107,95,72.7,134.9
YAL035C-A,YAL035C-A,31,20,22.2,59.4,20,20,23.6
YAL035W,YAL035W,2620,1544.6,1804,2977.6,3057.1,2105.6,2544.3
YAL036C,YAL036C,788,420.1,794.8,1562.7,1719.9,1667.4,1678.9
YAL037W,YAL037W,72,56.5,58.4,79.8,102.9,107.7,156.8
YAL038W,PYK1,12839,10844,13962.1,17362.2,14663.7,11698.2,15305.7
YAL039C,CYC3,1215,578.3,1826.2,1747.6,1682.2,2746.4,2168.1
YAL040C,CLN3,500,221.5,589.3,587.7,707.6,541.4,907.7
YAL041W,CDC24,181,81.7,210.7,188.8,184.9,172.2,170.6
YAL042W,YAL042W,1138,665.3,889.5,1097.6,1289.6,1269.6,1152.3
YAL043C,PTA1,238,123.7,379.3,319.2,347,351.7,482.7
YAL043C-A,YAL043C-A,20,20,20,20,20,20,34.1
YAL044C,GCV3,638,578.3,2199.6,2544.5,1872.3,1925.1,1192.1
YAL045C,YAL045C,27,20,25.1,49.6,29.3,47,20
YAL046C,YAL046C,239,220.8,397.8,277.3,429,480.6,425.8
YAL047C,SPC72,67,48.9,71,124.6,71,78.3,75.6
YAL048C,YAL048C,63,26,56.9,77.8,72.3,65.4,53.6
YAL049C,YAL049C,768,587.4,1548.2,1414.8,1219.3,1212.5,1180.7
YAL051W,OAF1,172,130.6,278,273.4,330.1,222.8,239.7
YAL053W,YAL053W,722,441.5,1187.4,1915.9,1953.6,1408.6,1440
YAL054C,ACS1,55,26,133.8,187.8,167.3,181.4,182
YAL055W,YAL055W,141,131.4,251.4,321.1,263,341.6,445.3
YAL056W,YAL056W,231,68.7,211.5,157.6,210.9,245.8,221
YAL058C-A,YAL058C-A,20,20,20,20,51.4,23,20
YAL058W,CNE1,184,102.4,232.9,320.1,320.3,407.9,369.7
YAL059W,ECM1,904,551.5,408.1,695.7,1238.8,887.5,1300.2
YAL060W,YAL060W,317,191,2463.5,1273.7,686.1,852.6,808.6
YAL061W,YAL061W,20,20,524.2,85.6,28,35,80.4
YAL062W,GDH3,59,54.2,129.4,130.4,203.1,208.1,466.4
YAL063C,FLO9,20,20,20,20,20,20,20
YAL064C-A,YAL064C-A,20,20,20,20,20,20,20
YAL064W,YAL064W,20,20,20,20,20,20,20
YAL064W-B,YAL064W-B,21,20,20,20,95.6,48.9,346
YAL065C,YAL065C,20,20,20,20,20,20,20
YAL066W,YAL066W,20,20,20,66.2,20,20,67.4
YAL067C,SEO1,20,20,35.5,20,20,26.7,87.8
YAL068C,YAL068C,1400,874.6,967.8,1582.2,1871.6,1983.2,1247.4
YAL069W,YAL069W,20,20,20,20,20,20,20
YAR002C-A,ERP1,1523,1359.7,1488.1,970.1,1131.5,1052.2,160553.6
YAR002W,YAR002W,510,232.2,365.2,420.4,390.6,412.5,297.4
YAR003W,YAR003W,185,102.4,160.4,283.2,313.1,250.4,204
YAR007C,RFA1,286,166.5,428.8,348.4,427.7,295.5,251.9
YAR008W,SEN34,466,249,181.1,227.7,453.1,453,407.9
YAR009C,YAR009C,3329,1963.9,2046.6,2882.2,3381.3,2908.4,2827.9
YAR010C,YAR010C,2840,1307,2746,2662.3,2990.7,2364.3,2621.5
YAR014C,YAR014C,163,76.4,168.6,218.9,234.4,202.6,210.5
YAR015W,ADE1,407,343.7,629.2,966.2,787.1,603,438
YAR018C,KIN3,117,55.8,88.7,83.7,71.6,89.3,142.2
YAR019C,CDC15,67,42.8,107.2,69.1,111.3,151.9,157.6
YAR020C,PAU7,2102,1573.6,1861,2208.8,1883.3,2123.1,2041.3
YAR023C,YAR023C,67,45.1,91.7,75.9,100.3,105.9,133.3
YAR027W,YAR027W,225,188.7,426.6,426.2,394.5,299.2,399
YAR028W,YAR028W,70,67.2,68,109,116.5,83.8,195.8
YAR029W,YAR029W,20,20,36.2,74,20,43.3,80.4
YAR030C,YAR030C,23,20,22.9,80.8,25.4,26.7,23.6
YAR031W,YAR031W,30,20,20,20,24.7,23.9,20
YAR033W,YAR033W,202,142.8,241.8,356.1,287.7,277.1,179.6
YAR035W,YAT1,68,58.1,130.1,172.2,195.3,222.8,110.5
YAR042W,SWH1,110,74.1,79.1,225.7,123.7,151.9,35.8
YAR044W,OSH1,78,42.8,175.2,191.7,229.2,199.8,255.2
YAR047C,YAR047C,20,20,20,20,20,20,20
YAR050W,FLO1,20,20,20,20,20,20,20
YAR053W,YAR053W,20,20,22.9,112.9,117.2,52.5,43.9
YAR060C,YAR060C,20,20,41.4,37.9,74.9,40.5,20
YAR061W,YAR061W,20,20,20,20,20,20,62.6
YAR062W,YAR062W,20,20,20,20,20,20,26.8
YAR064W,YAR064W,20,20,20,20,26.7,20,26
YAR066W,YAR066W,72,69.5,84.3,159.6,144.5,20,95.1
YAR068W,YAR068W,198,165.8,322.4,179,205.7,254.1,263.3
YAR069C,YAR069C,32,26,37,74.9,112.6,61.7,119.5
YAR070C,YAR070C,20,20,20,22.4,20,20,26.8
YAR071W,PHO11,5400,3652.1,528.6,859.2,1216.7,618.7,554.2
YAR073W,YAR073W,958,532.4,807.4,456.4,540.3,413.4,448.6
YAR075W,YAR075W,1603,1011.4,1775.9,1237.7,1662.6,987,1122.2
YBL001C,ECM15,526,475.9,1593.3,1702.8,2126.8,1269.6,1821.9
YBL002W,HTB2,1936,1384.9,601.1,322.1,570.9,942.8,744.4
YBL003C,HTA2,5638,4723.1,4162.6,2197.2,3418.4,3116.5,3987.5
YBL004W,YBL004W,740,441.5,159.7,488.5,695.3,587.4,455.9
YBL005W,PDR3,94,77.9,147.9,135.3,140,119.7,94.3
YBL005W-A,YBL005W-A,78,51.2,85.8,56.4,128.2,45.1,145.5
YBL005W-B,YBL005W-B,1836,1535.4,1487.6,2164.1,2579.2,1509.9,1901.5
YBL006C,YBL006C,1060,612.6,1063.2,1037.3,934.8,1132.4,905.3
YBL007C,SLA1,972,632.5,1369.3,1351.6,1201.7,972.2,1045
YBL008W,HIR1,82,33.6,161.2,285.1,186.2,189.7,114.6
YBL009W,YBL009W,132,71.8,60.6,39.9,141.9,118.8,147.9
YBL010C,YBL010C,50,20,20,99.3,92.4,40.5,78
YBL011W,SCT1,635,304.8,468.8,314.3,420.5,487,330.7
YBL012C,YBL012C,20,20,20,20,20,20,20
YBL013W,YBL013W,20,20,20,20,20,20,20
YBL014C,RRN6,302,82.5,158.2,270.5,324.2,188.7,240.5
YBL015W,ACH1,283,132.9,651.4,275.4,307.3,472.3,525
YBL016W,FUS3,350,160.4,524.9,513.8,424.4,468.6,504.6
YBL017C,PEP1,627,509.5,527.2,632.5,673.1,714.5,503
YBL018C,POP8,383,322.4,250.6,439.8,759.7,489.8,624.1
YBL019W,APN2,56,26.7,96.1,131.4,131.5,136.3,57.7
YBL020W,RFT1,225,152.8,165.6,260.8,307.9,270.7,319.4
YBL021C,HAP3,174,109.2,252.9,199.5,237,286.3,202.3
YBL022C,PIM1,511,381.9,996.7,843.6,786.4,757.7,632.2
YBL023C,MCM2,87,58.1,130.9,143,183.6,115.1,140.6
YBL024W,YBL024W,888,521.7,601.8,885.5,998.6,664.7,837.8
YBL025W,RRN10,160,84,227,188.8,302.7,279.9,309.6
YBL026W,LSM2,548,504.9,424.4,606.2,841.1,673.9,723.2
