Gene ID,Gcn5_1,Gcn5_2,Gcn5_3,Gcn5_4,Gcn5_5,Gcn5_6,Gcn5_7,Gcn5_8,Gcn5_9,Gcn5_10,Gcn5_11,Gcn5_12,Gcn5_13,Gcn5_14,Esa1_1,Esa1_2,Esa1_3,Esa1_4,Esa1_5,Esa1_6,Esa1_7,Esa1_8,Esa1_9,Esa1_10,Esa1_11,Esa1_12,Esa1_13,Esa1_14,Set1_1,Set1_2,Set1_3,Set1_4,Set1_5,Set1_6,Set1_7,Set1_8,Set1_9,Set1_10,Set1_11,Set1_12,Set1_13,Set1_14
YAL012W,-0.448024654,-0.108921225,-0.201258269,0.255524584,3.147585591,0.297779263,0.655873839,-0.002432699,-0.371193606,-0.633371946,-0.610088256,-0.755748048,-0.508075483,-0.71764909,-0.762839276,-0.43493956,-0.350703706,0.703436555,2.553584909,0.259852115,1.118873968,0.889723199,-0.768456959,-0.906617467,-0.87499099,-0.755187721,-0.387196625,-0.284538441,-0.47354488,-0.5062939,0.890632993,1.100927916,2.703673667,-0.165051416,0.501861224,-0.50604027,-0.558684311,-0.346560216,-0.710227922,-1.209927503,-0.294103566,-0.426661814
YBL033C,0.388102816,0.341368849,0.173129821,1.736359019,-1.626093965,0.602676601,0.089013894,-0.332481559,-0.636383261,0.624114667,0.547997814,0.891772088,-0.78611833,-2.013458454,-0.361261634,-0.22336648,0.295520993,-1.469294845,2.426385443,0.795488202,-0.666746781,0.126810081,-0.628856539,0.201939098,1.337514001,-0.704637023,-0.906128036,-0.22336648,-0.426610387,-0.682425422,1.694435469,1.991486899,-0.581998147,-0.709190647,1.202619146,-0.709190647,-1.288785169,0.415647645,-0.773864535,0.299892194,0.016799856,-0.448816255
YBL039C,0.37231521,-0.598837793,-0.089781214,0.722235949,1.648957205,1.72602749,-0.521764498,-1.010713667,-1.070013334,-1.478352627,-0.7875215,0.636448028,-0.286195877,0.737196628,-0.611824265,0.230606428,0.009371431,-0.263618351,1.962839909,1.50948651,1.678902567,-0.724459442,-0.542250646,-0.897209366,-1.120110658,-0.611824265,-0.077659205,-0.542250646,-0.123194024,0.064856083,1.242403061,1.84008084,1.813352368,0.118284976,-0.809069728,-1.27874915,-0.798976292,-1.079803202,-0.689291029,0.215679553,-0.246904672,-0.268668784
YBL039C-A,0.37231521,-0.598837793,-0.089781214,0.722235949,1.648957205,1.72602749,-0.521764498,-1.010713667,-1.070013334,-1.478352627,-0.7875215,0.636448028,-0.286195877,0.737196628,-0.611824265,0.230606428,0.009371431,-0.263618351,1.962839909,1.50948651,1.678902567,-0.724459442,-0.542250646,-0.897209366,-1.120110658,-0.611824265,-0.077659205,-0.542250646,-0.123194024,0.064856083,1.242403061,1.84008084,1.813352368,0.118284976,-0.809069728,-1.27874915,-0.798976292,-1.079803202,-0.689291029,0.215679553,-0.246904672,-0.268668784
YBL053W,-0.712840246,-0.634858464,-0.78821392,0.964516501,2.10222661,-1.458231682,0.146409747,-0.851153951,0.799688944,0.274262264,-0.206656765,0.757167246,0.762449584,-1.154765868,-0.545847723,-1.242299404,-0.116557107,1.901489746,0.715672015,1.46958841,-0.16650112,0.287733457,-0.010029627,-0.718352685,-0.93649078,1.0576317,-1.479327567,-0.216709315,-0.447600996,-0.112123243,-0.279897187,1.852165803,1.524370512,1.524370512,-0.729136554,-0.756645457,-1.461591727,-0.729136554,0.636301126,-0.404719327,-0.084412412,-0.531944497
YBL054W,-0.712840246,-0.634858464,-0.78821392,0.964516501,2.10222661,-1.458231682,0.146409747,-0.851153951,0.799688944,0.274262264,-0.206656765,0.757167246,0.762449584,-1.154765868,-0.545847723,-1.242299404,-0.116557107,1.901489746,0.715672015,1.46958841,-0.16650112,0.287733457,-0.010029627,-0.718352685,-0.93649078,1.0576317,-1.479327567,-0.216709315,-0.447600996,-0.112123243,-0.279897187,1.852165803,1.524370512,1.524370512,-0.729136554,-0.756645457,-1.461591727,-0.729136554,0.636301126,-0.404719327,-0.084412412,-0.531944497
YBL087C,-0.561438851,0.054542871,0.068569797,0.105349466,2.68040428,1.514520178,-0.225679419,-0.359642137,-0.757918764,-0.222536978,0.08869589,-0.336816084,-0.736911459,-1.311138791,-0.310384447,-0.653833511,1.075016479,0.311771764,2.635978505,0.644534638,-0.352227886,-0.87139348,-0.509201341,-0.081663687,0.492480307,-0.352990205,-1.392487683,-0.635599453,-0.211567274,-0.037968222,0.519290012,0.645799605,2.355019502,1.217483348,0.686081844,-0.936661397,-1.209661888,-0.442690601,-1.138201717,-0.105598723,-0.782836775,-0.558487713
YBL099W,-0.3335599,-0.620217897,-0.596978652,-0.898786837,-1.008622354,1.916557788,2.313524187,0.731889583,-0.041437758,-0.411190407,-0.207220603,-0.029689914,-0.079136013,-0.735131223,-0.691936835,-0.618554637,-0.768189375,-0.467393991,1.26778612,1.935975334,2.09144908,0.151971495,-0.420834723,-0.41072265,-0.385102852,-0.613018871,-0.277223806,-0.794204287,-0.373838816,-0.293319897,-0.647954538,-1.147886389,-1.206373125,1.318988878,2.57370666,0.698724775,-0.071954961,-0.493445979,0.212930486,-0.104961142,0.165506677,-0.630122631
YBR025C,0.365488643,-0.257652256,0.35710963,0.347659235,1.066564844,-1.122321074,-1.047674617,-1.80448694,-1.276941112,-0.309777937,0.472410003,0.706555234,0.920568137,1.582498209,-0.091437855,-0.213823448,0.186070594,-0.506764153,0.467627958,2.455398687,0.050783442,-0.059317147,-1.037567331,-1.158460405,-0.860109149,-0.071805587,-0.781320334,1.620724729,0.138008882,0.382087535,0.69947384,1.668792907,1.1750988,1.357141253,0.016249564,-1.464673571,-1.31342228,-0.197730344,-1.182110499,-0.035337882,-0.979947036,-0.263631168
YBR031W,-0.728560199,-0.237979059,-0.209873753,0.171798124,2.484823918,1.360786252,1.271874169,-0.656648586,-0.650411183,-0.819233741,-0.71621876,-0.365725326,-0.691043463,-0.213588394,-0.880350809,-0.35484229,-0.202638098,0.981586508,2.116269044,1.358814021,1.133027446,-0.502649315,-0.958362,-0.912293429,-0.769822565,-0.921470936,-0.179348721,0.092081146,-0.118242382,-0.253920066,0.376171682,1.72614824,1.61392923,0.792578864,0.444467502,-1.60971397,-1.47201236,-0.251674202,-0.576819223,-1.035568168,0.378544778,-0.013889927
