Gene name,microarray1,microarray2,microarray3,microarray4,microarray5,microarray6,microarray7,microarray8,microarray9,microarray10,microarray11,microarray12,microarray13,microarray14,microarray15,microarray16,microarray17,microarray18,microarray19,microarray20,microarray21,microarray22,microarray23,microarray24,microarray25,microarray26,microarray27,microarray28,microarray29,microarray30,microarray31,microarray32,microarray33,microarray34,microarray35,microarray36
YAL001C,-0.092997261,1.043480091,1.173551098,-0.436480448,0.015859509,-0.120545032,-0.269658295,0.030262805,-3.168460832,-1.674686127,0.676701645,-0.892117403,-0.01897624,0.580638557,0.585817824,0.477089816,0.765448498,0.660606201,-0.465755972,-1.743331549,0.986043016,-0.836225813,0.109572619,0.521129596,-0.305986258,1.494949061,0.449823074,0.783505705,0.614678137,0.291975916,0.517693657,-2.081324366,-1.165830454,-0.13185558,1.038220008,0.587184799
YAL001C,-0.851169272,-0.572365067,0.150398377,-0.425483154,0.025410891,-0.171992325,0.212739586,-0.716830438,-2.235350761,-0.810337159,-1.188625166,-1.596442602,1.100493656,0.016642243,0.937000364,1.007050484,-0.919714526,0.767419065,-1.644504968,-0.81934849,0.952335919,0.085442479,1.682674072,1.024674395,-0.171644516,-0.647512913,0.956624679,-0.572008145,-0.145637452,-0.436769306,0.30747304,-0.652755361,1.342757214,1.822379623,1.761039387,0.425936147
YAL002W,-0.909799459,1.317912291,1.043194381,-0.615870025,0.270757302,0.306611869,0.364959111,0.185395762,-0.620559612,-2.238577172,-0.178307604,-1.502478395,0.214214406,-0.16908824,1.330986201,1.301032172,1.080500249,1.071511869,-0.773303843,-1.726176974,2.617516185,-0.359822628,0.456024867,1.2824651,-0.378228856,0.124165209,0.719305977,-0.44018543,-0.590419658,-0.876912267,0.51815902,-0.413658704,-0.315128708,-1.370782551,-0.44508884,-0.280323007
YAL003W,-0.410323079,-2.329929842,-0.875041185,-0.107380094,-0.021515974,0.242985333,0.526529064,0.74859815,1.333531144,0.650589737,0.240627773,0.26376344,-0.413084383,-2.18345601,-1.833579535,-1.220004819,0.909562022,0.72094435,0.638462364,1.190401218,1.628530819,0.614091331,0.568253558,-0.01358311,-0.580574492,-2.18425556,-0.969928408,-0.364008327,0.433417149,0.4400773,0.640281648,0.503124627,1.119435907,0.153424594,0.509760904,-0.569727613
YAL003W,-0.305911545,-2.524681011,-0.916825028,-0.881871593,-0.369928115,0.197070886,0.092973816,0.804948961,1.30010697,0.680209041,0.656553808,0.375913041,-0.354496021,-2.702824138,-1.048634604,-0.392888759,0.32821673,0.303696043,0.406917214,0.935938812,1.59192274,0.776810478,0.725010843,0.89857165,-0.295643372,-2.160847268,-0.864814679,-0.793250903,-0.147254265,-0.014837764,0.322844831,1.13901223,0.780307568,0.358895831,0.723624571,0.375163002
YAL004W,-0.099412037,0.462236523,1.31934002,0.405006619,1.238856145,0.116868231,0.32099093,0.492543264,-1.590621021,0.301158815,-1.00516182,-0.90861684,0.321879291,1.055960307,0.825217668,0.491489034,2.46304052,0.111651987,0.381714283,-0.77191223,0.72034524,-0.251004862,-0.843605212,-1.323359282,0.372825224,0.578011304,0.601890942,-0.777870539,0.347633927,0.550075134,0.291096323,-1.9162577,-0.471017159,0.213379756,-1.498124425,-2.526248359
YAL005C,-0.464692112,0.723064523,0.106141433,0.760255093,0.835391913,0.493803319,0.489121885,0.002230148,-2.808822135,-0.199902456,-0.808976798,-0.645802453,-0.551732918,0.648124203,0.14007698,0.751621662,1.314389416,0.704899458,0.856982402,-0.000687645,0.497522855,-0.162641664,-0.853147473,-0.280790469,-0.66535946,0.258194462,0.167484771,0.775135941,0.889944639,0.682898487,0.850934714,-3.507631966,0.229107822,0.428862782,-0.083127784,-1.572873573
YAL005C,-0.107176533,0.367047449,0.36806719,0.47445073,0.671703852,0.447383025,0.611952683,0.593220717,-4.313389943,0.544059349,0.459371524,-0.2788109,-0.25032212,0.25389744,0.119132354,0.593220717,0.741850371,0.325636973,0.606291698,0.006204597,0.287405522,0.298184462,-0.321592555,-0.37365578,-0.684797317,0.262687558,0.307690075,0.477071162,0.566792156,0.593220717,0.626030593,-2.888603541,0.298184462,0.031075701,-0.568326367,-1.145158023
YAL005C,-0.153790344,0.533306574,0.686209529,0.642187888,0.906917495,0.526389594,0.644174774,0.388878222,-4.443060733,0.060286474,0.241539002,-0.357631707,-0.583631579,0.349558007,0.208937899,0.51572441,0.732753346,0.371762991,0.554989367,-0.044199061,0.194187519,0.313848049,-0.740690052,-0.041051405,-1.033442119,0.138605239,0.186330031,0.592623331,0.585788303,0.571611166,0.702523215,-2.363186623,0.352496433,0.364930095,-0.809525975,-0.796349354
YAL007C,0.732024309,0.034746336,-0.598102696,-0.536338356,-0.293789879,-0.891857678,-0.68625931,-0.603018849,-0.50339528,1.25062809,1.320343079,1.203006109,-0.706754724,-0.198713607,-0.565744443,-0.498562919,-0.579413991,-0.835805119,-0.810854776,0.266945744,1.654098072,2.018280377,0.410001395,1.973237958,-0.526396735,-0.615837411,-0.842412558,-1.014971311,-0.759230618,-1.200562911,-1.00851607,-1.101340348,1.523210893,1.784399824,0.11630738,1.090650025
