Gene name,RNAseq1,RNAseq2,RNAseq3,RNAseq4,RNAseq5,RNAseq6,RNAseq7,RNAseq8,RNAseq9,RNAseq10,RNAseq11,RNAseq12,RNAseq13,RNAseq14,RNAseq15,RNAseq16
YAL001C,0.570779169,0.551612308,-0.213507985,-2.351724867,-1.786049269,0.414615007,0.566953664,0.98303055,0.52848137,1.176499704,-0.528362873,-0.007026629,-0.120325332,-0.590474147,-0.467268461,1.27276779
YAL001C,0.570779169,0.551612308,-0.213507985,-2.351724867,-1.786049269,0.414615007,0.566953664,0.98303055,0.52848137,1.176499704,-0.528362873,-0.007026629,-0.120325332,-0.590474147,-0.467268461,1.27276779
YAL002W,1.320270884,1.451335013,0.677816834,-0.511842914,-0.769231589,0.945333275,0.623589639,0.341526152,-0.023778673,0.657562889,-1.155979504,-0.993020656,-1.401791853,-1.094133055,-1.155979504,1.088323062
YAL003W,0.149967047,0.272196327,0.320339733,0.918127841,1.03597633,0.727056441,0.757568322,0.778287933,0.269169717,0.488814488,0.196655956,-1.512884304,-2.468548277,-1.196975126,-0.976280923,0.240528496
YAL003W,0.149967047,0.272196327,0.320339733,0.918127841,1.03597633,0.727056441,0.757568322,0.778287933,0.269169717,0.488814488,0.196655956,-1.512884304,-2.468548277,-1.196975126,-0.976280923,0.240528496
YAL004W,1.124746214,0.709841525,0.02928803,-1.603589284,-2.717092315,0.129199702,0.154401168,0.067949002,-0.171049473,0.098475629,-0.30210842,-0.547133252,0.810732543,0.383881152,0.517611171,1.314846607
YAL005C,1.106701456,0.667912253,-0.011652356,-1.636033742,-2.748301447,0.134488331,0.165038891,0.070222266,-0.12934763,0.121234497,-0.244909009,-0.426064851,0.760745277,0.332633156,0.472162604,1.365170304
YAL005C,1.106701456,0.667912253,-0.011652356,-1.636033742,-2.748301447,0.134488331,0.165038891,0.070222266,-0.12934763,0.121234497,-0.244909009,-0.426064851,0.760745277,0.332633156,0.472162604,1.365170304
YAL005C,1.106701456,0.667912253,-0.011652356,-1.636033742,-2.748301447,0.134488331,0.165038891,0.070222266,-0.12934763,0.121234497,-0.244909009,-0.426064851,0.760745277,0.332633156,0.472162604,1.365170304
YAL007C,-0.817438092,-0.68676991,-0.624499475,-0.505481893,-0.334823044,0.882814392,1.546737288,1.871469769,0.951437853,1.169431139,0.513787759,-0.291090321,-1.140295266,-1.081670854,-1.101022294,-0.35258705
YAL008W,0.794400304,0.593874377,-0.333342777,-1.779326765,-2.454757975,-0.185232754,0.030702917,0.168453586,-0.305981405,-0.081473301,-0.446482892,0.593874377,1.015197905,0.262461296,0.500596896,1.627036211
YAL009W,0.666031029,0.666031029,0.036605636,-1.290944847,-0.585576273,0.260066017,0.607821423,0.504385217,-0.659457604,0.622434068,-0.530835562,-0.476656285,-1.504836409,-0.369936778,-0.640890175,2.695759516
YAL010C,1.160022921,0.973343152,0.713325928,-0.708922067,-2.724151726,-1.00938194,-0.260607183,0.566055409,0.015819598,0.612767188,-0.108090031,0.431737157,-0.681646018,-0.017528051,-0.284691438,1.321947101
