"ID","ORF","filament01","filament02","filament03","filament04","filament05","filament06","filament07","filament08","filament09","filament10"
"Q0010","Q0010",-1.7573063,-1.1561773,-0.6776103,2.1260483,0.5016173,0.6511323,-1.0264993,3e-07,-1.1791883,0.9500953
"Q0017","Q0017",-0.3322443,0.5813033,-0.0099893,-1.4715293,3.3053143,-1.2591163,0.1760673,-1.2358243,-1.7973633,0.0332293
"Q0032","Q0032",3e-07,3e-07,1.2955473,2.4382933,-1.8635463,3e-07,0.9368173,0.0231843,1.6509943,-0.4617603
"Q0045","Q0045",3.6806963,2.3419573,0.3189243,1.7174303,0.8437433,2.6874413,-0.3455643,1.5613023,1.7107903,2.4382933
"Q0050","Q0050",3e-07,0.4982513,4.1225153,0.9201413,3e-07,3e-07,3e-07,3e-07,3.8966213,3e-07
"Q0055","Q0055",3e-07,0.7507783,0.7872653,3e-07,-1.4815663,3e-07,3e-07,3e-07,3e-07,3e-07
"Q0060","Q0060",0.1760673,1.4982003,-0.8071753,4.1856293,0.1993743,3e-07,-0.7573063,1.0928843,4.1490893,3e-07
"Q0065","Q0065",3e-07,1.3486863,1.0762853,2.2688833,-0.1992553,0.2358503,-0.2458823,2.1027923,4.8832353,0.9301703
"Q0070","Q0070",1.2224953,1.7539903,0.7840013,1.5114683,-0.3819493,-0.4717293,3e-07,3e-07,3e-07,0.3653573
"Q0075","Q0075",0.4252443,0.1959773,-1.1860653,5.5077573,-0.2824393,3e-07,-0.6677223,0.0398403,-0.6776103,3e-07
"Q0080","Q0080",2.2323233,2.3253583,3.1990133,3.3451833,1.5148043,3.7969613,0.7972623,3.6574463,2.2190603,4.0926133
"Q0085","Q0085",2.6442493,2.7073703,2.7837713,3.2023393,2.7771363,2.9698043,1.7772413,3.0694623,2.0662273,3.3584673
"Q0092","Q0092",-1.5614943,-1.3154513,3e-07,0.1926993,-0.8104603,-0.3056103,-0.2558393,0.7308363,-2.2256663,0.1859933
"Q0105","Q0105",-0.0797833,1.5181323,-0.7074543,-1.6179413,0.6743703,1.2822623,3e-07,-0.4651423,-0.6510883,-0.3355173
"Q0110","Q0110",-1.2058963,1.2590013,0.5381413,3e-07,3e-07,3e-07,0.4650863,3e-07,3e-07,3e-07
"Q0115","Q0115",-0.8769963,0.5747313,-2.0262053,0.9301703,0.4219103,-0.7143023,-1.3090023,1.0862403,-0.0631083,0.8803333
"Q0120","Q0120",-0.7873683,3e-07,-0.9334633,3e-07,3e-07,3e-07,3e-07,0.2491423,0.2823803,3e-07
"Q0130","Q0130",3.0594943,3.2621323,2.6243353,2.6342913,2.4681923,1.9898293,1.1394043,2.3884653,2.2589113,2.3652173
"Q0140","Q0140",-1.4285663,-0.9700173,-1.9034683,3.3451833,1.3155083,3e-07,-1.7804133,2.1459713,3e-07,-0.3588243
"Q0142","Q0142",0.2092663,0.5513933,3e-07,3e-07,3e-07,3e-07,3e-07,1.3321063,3e-07,-0.2624003
"Q0143","Q0143",2.1293493,2.9996933,2.4781693,3.2222643,2.1393063,2.3519113,0.2657973,2.2921343,2.2987763,2.6973963
"Q0144","Q0144",-0.6510883,0.9301703,-2.1360623,3e-07,3e-07,3.3584673,-0.4617603,0.1826923,0.4152183,3e-07
"Q0160","Q0160",0.1228713,0.5613993,3e-07,1.0829753,-0.4949223,3e-07,-1.3887333,0.9899383,0.7972623,3e-07
"Q0182","Q0182",2.5014143,1.3387383,1.2789363,-0.3090023,0.5547363,0.4551233,0.1892873,1.5912013,1.8137713,0.1627263
"Q0250","Q0250",1.8038063,0.9799523,-0.6377833,1.9599563,-0.0066523,2.6442493,-0.9899363,-0.3322443,0.3952823,0.6610203
"Q0255","Q0255",-0.0298833,0.7242143,-0.6610913,4.3218273,0.9500953,-0.0829883,-0.5149853,1.1128343,3e-07,0.2192153
"Q0275","Q0275",-1.2256663,1.9997843,-0.1827863,3e-07,0.1428713,3e-07,-0.6044983,3e-07,3.5777193,3e-07
"Q0297","Q0297",3e-07,-0.2424653,-0.5515223,0.7707023,3e-07,0.1760673,-0.3255393,1.1361263,-0.6677223,3e-07
"YAL001C","YAL001C",1.7041643,1.4350953,0.0764223,1.4151643,0.3554673,0.7474303,0.1428713,2.1758763,0.8038883,2.3785123
"YAL002W","YAL002W",-0.9865023,0.9401293,1.7307053,1.3387383,0.4119693,2.3319923,1.1493893,2.3585653,1.5978413,0.3022903
"YAL003W","YAL003W",0.4119693,1.1726163,0.6045463,1.7240833,0.9467313,1.6177693,0.7208913,1.8270473,0.9666523,0.8836213
"YAL004W","YAL004W",0.9401293,0.9334973,-0.1926453,0.1461343,0.0398403,3e-07,-0.5380523,2.1559433,-0.3588243,0.1892873
"YAL005C","YAL005C",0.4750853,0.3554673,0.5813033,0.8005793,0.2590623,0.7806463,0.3754013,0.0199153,0.1361913,0.6444103
"YAL007C","YAL007C",0.9168593,0.7972623,-0.5081983,0.9268343,-0.0298833,1.1427403,0.6643923,1.3055043,0.7674013,1.3354263
"YAL008W","YAL008W",1.7141363,1.1161653,-0.0365263,0.1926993,-0.3455643,0.8670273,0.7474303,1.1892243,1.6941673,0.4617383
"YAL009W","YAL009W",0.6643923,0.5149053,1.1626613,-0.0995873,0.0432043,1.0364683,0.2990103,0.9301703,0.3422133,0.7773673
"YAL010C","YAL010C",-0.6212663,2.5080483,-2.0794783,1.4682713,1.5081753,2.9731343,-0.2656913,2.3186933,1.5546383,1.5845783
"YAL011W","YAL011W",0.1892873,-0.0133343,-0.7838873,2.8834253,0.6378423,0.4617383,0.4450913,1.4450383,0.6079583,0.8570263
"YAL012W","YAL012W",-0.0829883,0.0663993,0.1228713,0.7573653,-0.3787573,-0.2757863,-0.1893513,-1.0031773,-0.9666303,-0.0332743
"YAL013W","YAL013W",-0.9601603,0.0465613,-1.9534393,-0.2990283,0.0630893,2.2124143,-1.8437333,0.4318903,-1.4020163,0.2856983
"YAL014C","YAL014C",0.0298423,0.0133553,-0.7307273,0.2624333,-0.5414083,-0.4418303,-0.4485093,-0.4550203,-0.1029923,-0.0099893
"YAL015C","YAL015C",1.3121423,0.0764223,-0.3753843,1.3786233,1.2257683,-0.3355173,0.8869793,0.9999283,0.2823803,-0.2392263
"YAL016W","YAL016W",0.7008843,1.0065493,3.8700493,0.8404433,0.0033143,0.7341353,-0.5546973,0.8471153,0.0531113,0.0896343
"YAL017W","YAL017W",1.2191533,1.0397703,-0.6012123,0.2558033,-0.1229633,0.6045463,0.3354833,0.8969313,0.6909983,0.3587343
"YAL018C","YAL018C",-0.0564913,-0.4119633,-1.2757863,0.9733543,3e-07,3e-07,0.4551233,3e-07,-1.1228053,-1.3785693
"YAL019W","YAL019W",0.4086033,1.1991853,-0.9833613,2.1326763,1.8536363,2.2223723,0.3123173,1.8735773,1.6709313,1.2789363
"YAL020C","YAL020C",-0.4020163,0.1296133,-0.4882283,1.6410373,-0.5249153,-0.9734123,-0.6179413,-0.4052603,-0.2025723,0.0731353
"YAL021C","YAL021C",-0.9833613,-0.7408183,-0.8403713,-0.4418303,-0.9700173,-0.7673393,-0.6445333,-0.3655003,-0.6212663,-0.2757863
"YAL022C","YAL022C",0.2624333,-1.0531943,-1.5678963,-1.7041593,-0.6279393,-0.9034683,-0.6943213,-1.5614943,-1.4783463,-0.6411543
"YAL023C","YAL023C",-1.8401133,-2.1228053,-1.6707043,-1.7408183,-1.8900383,-1.4383073,-1.6840863,-1.5282403,-1.6943213,-1.2757863
"YAL024C","YAL024C",0.9134933,0.5149053,1.2290963,-0.4385033,3.0295943,0.9699703,0.8769593,-0.0365263,0.2358503,1.6244283
"YAL025C","YAL025C",0.1361913,1.3686573,-0.3420863,1.7739123,-0.2856013,1.3885753,-0.2856013,1.9034633,-0.0199023,1.1128343
"YAL026C","YAL026C",-1.7903593,-0.9632513,-1.1626223,-0.8669633,-1.8303323,-0.6510883,-1.3255393,-1.2125683,-1.4651423,-0.2092283
"YAL027W","YAL027W",1.0231843,0.3952823,-0.3919483,1.5048243,0.2790553,1.7905223,0.5813033,1.3686573,-0.5349143,2.0097773
"YAL028W","YAL028W",2.8502193,1.0829753,-0.1760883,2.6708403,-0.0730903,1.1660083,-0.6642883,0.9334973,1.1859303,1.4749293
"YAL029C","YAL029C",1.7008393,0.8769593,-0.2491363,1.5148043,1.6111253,1.0796343,0.3919883,2.7738063,0.9533773,1.0597013
"YAL030W","YAL030W",1.1361263,1.1094943,1.0995653,0.2225573,-0.1262663,0.7374273,0.2757223,0.6178633,0.6079583,2.4349623
"YAL031C","YAL031C",-1.0264993,-0.1494413,-0.8669633,2.3120553,-0.3488683,0.7008843,-1.0000003,0.0697023,0.5182333,0.1063483
"YAL032C","YAL032C",-0.1627833,-0.5481433,-0.5646913,-0.0266463,-1.7041593,-0.2724723,-1.2556673,-0.5814323,0.0199153,-0.2724723
"YAL033W","YAL033W",1.4151643,1.0630203,1.0497003,0.8437433,0.4285713,1.1228053,0.1793843,0.0265883,-0.1196673,0.7739963
"YAL034C","YAL034C",-0.6709343,1.4483723,-0.2424653,2.4715263,0.2990103,1.5812553,-0.2889463,1.0231843,0.1029943,1.0430643
"YAL034W-A","YAL034W-A",-0.0332743,-0.4518593,-0.9235783,3e-07,-0.9235783,3e-07,3e-07,3e-07,0.3022903,1.1892243
"YAL035C-A","YAL035C-A",0.1428713,0.9134933,0.0663993,1.1261143,0.6311513,0.4252443,3e-07,-0.9965423,-1.5411983,2.1526053
"YAL035W","YAL035W",-0.7873683,0.8204853,-0.8735563,0.9699703,0.5016173,0.7806463,-0.4451663,0.6710223,-0.2856013,0.1228713
"YAL036C","YAL036C",-0.1362203,0.2491423,0.3288363,0.9168593,0.3787343,0.5447823,0.3554673,0.9134933,0.0597713,0.3321643
"YAL037W","YAL037W",1.2290963,0.7773673,0.3820593,1.1194893,-0.2990283,3e-07,0.3022903,3e-07,3e-07,3.3551433
"YAL038W","YAL038W",-0.1593963,-0.1196673,0.0199153,-0.6910573,-0.4085123,-0.0432003,-0.8038973,-0.3322443,-0.6012123,0.2192153
"YAL039C","YAL039C",0.0663993,0.1660733,-0.2922993,0.5713373,-0.1726693,0.4915973,-0.2956593,0.0166393,-0.0365263,0.9833133
"YAL040C","YAL040C",0.2990103,-0.2458823,-0.2757863,-0.5515223,-0.5081983,-0.8536053,-0.6642883,0.0663993,-0.5481433,0.3222743
"YAL041W","YAL041W",-0.7873683,0.1261803,-0.3455643,0.4883093,-0.2325993,0.6544363,-0.3887333,0.4185683,-0.1328943,0.3787343
"YAL042W","YAL042W",-0.4550203,-0.4085123,0.0133553,-0.4783463,-0.8173083,-0.4451663,-0.7074543,-0.7276183,-0.9799423,-0.3686633
"YAL043C","YAL043C",-0.6743833,-0.5614943,-0.1129433,-0.7008733,-0.9235783,-0.7340833,-0.8536053,-0.4550203,-0.7938573,-0.2491363
"YAL043C-A","YAL043C-A",-0.4617603,-1.2125683,-0.5913973,1.8602873,0.0896343,3e-07,-1.5282403,0.6743703,-0.0829883,1.2623133
"YAL044C","YAL044C",-0.5913973,-0.2058963,0.1826923,0.0531113,-0.5979333,0.2491423,0.1394693,0.3554673,-0.1062493,0.2790553
"YAL045C","YAL045C",3e-07,3e-07,1.6310583,3e-07,1.3719493,-0.4020163,0.4883093,3e-07,2.1160653,3e-07
"YAL046C","YAL046C",0.9533773,3e-07,-0.8604003,4.9197743,0.3354833,3e-07,0.0630893,3e-07,0.3255023,3e-07
"YAL047C","YAL047C",0.5647203,0.0099203,1.9366663,0.6079583,0.0133553,-0.2824393,-0.2159153,2.0828393,0.7707023,1.5845783
"YAL048C","YAL048C",0.9533773,0.7108783,1.1759403,3e-07,-0.8206163,0.7440753,0.3520813,3e-07,2.0496313,3e-07
"YAL049C","YAL049C",2.1061143,1.1094943,0.7806463,0.0199153,-0.2656913,-0.5182883,-0.1827863,-0.2624003,-0.5282403,0.6777113
"YAL051W","YAL051W",0.6676653,1.1527033,0.8803333,1.6676203,-0.2922993,-0.2824393,0.4784023,0.9899383,0.4418023,1.8901743
"YAL053W","YAL053W",-0.4385033,-0.7276183,-1.0297353,-1.2256663,-1.2290443,-1.2358243,-1.3887333,-0.7838873,-1.3255393,-1.3054323
"YAL054C","YAL054C",1.4284103,-0.2757863,-0.1362203,-1.0764323,-1.5282403,-1.5149853,-1.1328943,-2.4383073,-2.4219793,-1.8069223
"YAL055W","YAL055W",3e-07,1.9964613,-0.2491363,4.1125503,2.8668293,3e-07,3e-07,1.2723223,3e-07,0.1428713
"YAL056W","YAL056W",1.6742353,0.5314693,1.9499833,0.4052303,0.8869793,0.3288363,0.5613993,0.8172143,3.4581333,1.3619933
"YAL058C-A","YAL058C-A",-0.9069813,1.0630203,-1.1328943,1.0663303,-0.2392263,0.0831113,-0.3255393,0.4252443,-0.2558393,0.5016173
"YAL058W","YAL058W",-0.3554983,-0.3056103,-0.2990283,-0.3387983,-0.8104603,-0.5149853,-0.5814323,-0.8903053,-1.4351833,-0.6344193
"YAL059W","YAL059W",-0.7276183,0.6478213,0.6909983,1.6842353,1.6011743,1.3653013,0.9068913,-0.4617603,1.6842353,0.7674013
"YAL060W","YAL060W",-0.3686633,-0.6677223,-1.2922993,0.2391543,-0.6179413,-0.3819493,-0.9301603,-0.2922993,-0.9500903,0.2856983
"YAL061W","YAL061W",1.4483723,1.0065493,-0.8239333,0.2060183,-1.5580923,-1.6277163,-0.1129433,0.4650863,-1.0994333,0.2292193
"YAL062W","YAL062W",0.7606893,0.3886863,0.3321643,0.6809543,0.4052303,0.0597713,0.0298423,0.5846743,0.8172143,0.8238313
"YAL063C","YAL063C",0.8005793,1.4716043,4.2753203,3.4680883,-0.1627833,1.6709313,-1.3785693,0.6777113,-1.2856013,1.2656773
"YAL064C-A","YAL064C-A",3e-07,3e-07,-0.5215983,0.1361913,-0.8536053,3e-07,-1.6277163,0.9899383,-0.6445333,3e-07
"YAL064W","YAL064W",-0.7307273,-1.7838873,0.1826923,3e-07,-0.2491363,3e-07,-0.0099893,3e-07,0.0332293,-2.0133343
"YAL064W-B","YAL064W-B",-0.2523983,0.1095613,-0.2824393,3e-07,0.4784023,1.2490213,-0.3156303,0.0465613,-0.2358243,0.8172143
"YAL065C","YAL065C",-0.7340833,0.5314693,3e-07,3e-07,-2.2556673,3e-07,-1.6776103,0.1428713,-0.8038973,-1.5513103
"YAL066W","YAL066W",0.4650863,1.2092043,0.8172143,1.7473443,0.8570263,2.2821733,1.3420433,1.4483723,0.2923113,1.9200653
"YAL067C","YAL067C",0.3255023,-0.8038973,1.4218023,2.2057683,3.3086383,3e-07,0.5281713,3e-07,3e-07,-1.0066523
"YAL068C","YAL068C",0.3754013,0.7108783,3.4149473,-0.0929563,-0.7906093,1.2257683,0.2590623,-0.1494413,3e-07,1.0364683
"YAL069W","YAL069W",-0.0066523,0.4385063,1.6842353,-0.0165413,2.0330183,0.1063483,0.1527683,1.6111253,-0.9069813,-1.0232703
"YAR002C-A","YAR002C-A",-0.4583863,-0.6445333,-0.2889463,-0.3720203,-0.8173083,-0.5149853,-0.5215983,-0.7973633,-0.7143023,-0.3355173
"YAR002W","YAR002W",1.0796343,0.8005793,3.2853873,0.7872653,0.0066213,0.2292193,1.2357273,1.4982003,1.4218023,3.1857243
"YAR003W","YAR003W",1.7473443,-0.9434163,-0.6943213,1.1493893,-0.2956593,1.7871823,-0.2125683,2.1160653,4.5875813,3e-07
"YAR007C","YAR007C",0.1361913,-0.1660173,0.1361913,-0.2125683,-0.1428953,0.1095613,-0.5979333,0.0697023,-0.4518593,0.3055623
"YAR008W","YAR008W",3e-07,0.4152183,2.9664863,1.1991853,-0.3222893,3e-07,1.5048243,3e-07,3e-07,1.6078163
"YAR009C","YAR009C",2.1625653,2.5678623,3.2455263,3.9132343,1.8802153,2.6774633,3.1226063,3.3617963,3.3219283,3.5378553
"YAR010C","YAR010C",2.7671673,3.5079603,2.6641873,3.6408293,1.9267213,3.5212393,2.7970543,1.8602873,1.9433213,3.4049713
"YAR014C","YAR014C",-0.0298833,0.5513933,0.2325383,1.2058303,0.1660733,0.8703453,0.0663993,1.3985153,0.7507783,0.9368173
"YAR015W","YAR015W",-0.9567963,-0.5447713,1.1294813,0.1527683,1.2955473,0.4617383,2.1492923,0.3321643,0.4883093,0.2026373
"YAR018C","YAR018C",-0.6411543,-1.1626223,-0.4916733,1.5214533,3e-07,1.6244283,-0.9734123,-0.0995873,-0.2325993,1.3885753
"YAR019C","YAR019C",0.8271693,0.5912963,3e-07,0.6643923,-0.8471033,0.0996323,-0.0664273,0.4019583,-0.5946613,0.7175613
"YAR020C","YAR020C",0.8503993,0.1527683,1.0065493,1.0264463,-2.9534393,-0.6544903,-0.8206163,1.1460693,3e-07,-0.5879233
"YAR023C","YAR023C",0.1495203,3e-07,-0.6344193,0.6079583,1.3786233,3e-07,-1.0031773,0.7640063,-0.4285663,3e-07
"YAR027W","YAR027W",1.4118063,1.8802153,-0.2058963,2.6907523,1.6975073,0.2923113,0.8471153,1.3354263,1.3520243,1.8503193
"YAR028W","YAR028W",1.2025123,-0.0597963,0.3687123,0.4352023,3e-07,0.9666523,3e-07,0.4915973,3e-07,-0.1295763
"YAR029W","YAR029W",-2.5112793,3e-07,-1.1193543,3e-07,0.4385063,3e-07,0.9500953,-0.4617603,-0.4751343,3e-07
"YAR030C","YAR030C",3.8135763,0.4119693,-1.4150373,0.3354833,0.6777113,-0.0897283,-0.8104603,1.3686573,-0.1295763,0.0564453
"YAR031W","YAR031W",1.1759403,0.1926993,0.5946443,0.6875983,-0.8239333,4.1557333,3e-07,1.4849113,3e-07,2.3652173
"YAR033W","YAR033W",-0.0929563,3e-07,-0.9933793,3e-07,0.0166393,1.1660083,0.0332293,0.6842803,0.1760673,-1.2324303
"YAR035W","YAR035W",1.4982003,2.7505643,0.8670273,2.8601883,1.7739123,2.1127333,1.9632523,1.5081753,0.5447823,0.8736563
"YAR042W","YAR042W",3e-07,0.0630893,-0.0033223,2.3785123,0.2126323,3e-07,3e-07,2.3220153,0.2723823,0.0663993
"YAR044W","YAR044W",2.1260483,1.6941673,2.4283303,3.7737123,1.2789363,2.0097773,1.5413663,2.7206513,1.8170913,2.2090793
"YAR047C","YAR047C",3e-07,0.0033143,3e-07,1.3553553,1.5978413,3e-07,3e-07,0.3222743,3e-07,0.3022903
"YAR050W","YAR050W",1.1959143,0.0697023,1.0397703,-0.6743833,1.5148043,0.4484783,0.8138533,4.3882653,4.6041903,-1.7774433
"YAR053W","YAR053W",3e-07,1.0829753,0.9899383,2.5014143,1.6643013,0.7275283,1.3486863,2.5080483,1.5912013,2.2589113
"YAR060C","YAR060C",3e-07,1.5214533,3e-07,1.6011743,3e-07,3e-07,3e-07,0.4650863,3e-07,0.6112673
"YAR061W","YAR061W",0.1461343,0.4418023,3.1325773,3.2388793,0.9401293,-0.7008733,1.3553553,3e-07,0.3754013,3e-07
"YAR062W","YAR062W",3e-07,3e-07,-0.6179413,1.7074813,-0.1029923,0.3754013,3e-07,1.1194893,-0.9833613,0.6112673
"YAR064W","YAR064W",0.0996323,1.6941673,0.6079583,0.8902523,1.1161653,-0.9069813,3e-07,3.3750813,-0.3255393,-1.1162233
"YAR066W","YAR066W",0.5314693,0.1660733,1.3321063,0.8670273,1.2191533,0.6444103,0.8437433,-0.1860653,-0.0963453,2.3951183
"YAR068W","YAR068W",-2.4250753,-2.0362303,-1.6312883,-2.9061693,-3.3451983,-3.7178573,-3.3823253,-2.6339723,-2.9896503,-2.5014433
"YAR069C","YAR069C",3e-07,3e-07,0.3189243,0.0099203,3.7903243,-0.5481433,3e-07,2.0131053,3e-07,3e-07
"YAR070C","YAR070C",0.2292193,0.1859933,-1.3651283,-0.1627833,0.8570263,-0.7041593,-0.8471033,0.1694123,4.9596403,0.3919883
"YAR071W","YAR071W",0.1428713,1.6078163,3e-07,3e-07,0.2890083,3e-07,0.4318903,0.6278873,0.6777113,3e-07
"YAR073W","YAR073W",0.2790553,0.5879413,0.3089433,1.2092043,1.0430643,0.1694123,0.5415153,1.1261143,0.1495203,0.6643923
"YAR075W","YAR075W",-0.4185043,-0.1860653,0.5747313,0.8105663,0.9766573,0.6145693,0.7739963,0.5547363,0.4019583,0.3587343
"YBL001C","YBL001C",0.5215533,0.7374273,-0.1262663,3.9796693,0.5680323,1.4118063,0.2690333,-0.9069813,1.2058303,3e-07
"YBL002W","YBL002W",0.9301703,0.7341353,0.7407983,1.1726163,0.5513933,0.7541183,0.5547363,1.0264463,0.9766573,0.7042523
"YBL003C","YBL003C",0.4318903,0.2060183,0.0896343,0.9699703,0.8071903,0.5049763,0.4219103,0.7939373,1.1892243,0.5680323
"YBL004W","YBL004W",-0.1428953,3e-07,-0.1627833,3.5810383,1.1493893,3e-07,0.7275283,1.2390923,0.9101953,3e-07
