gene.id	ura3_noglu_OD0.214	ura3_noglu_OD0.641	ura3_noglu_OD1.47	ura3_withglu_OD0.182	ura3_withglu_OD0.291	ura3_withglu_OD0.5	dtrmB_noglu_OD0.042	dtrmB_noglu_OD0.104	dtrmB_noglu_OD0.355	dtrmB_withglu_OD0.222	dtrmB_withglu_OD0.314	dtrmB_withglu_OD0.8
VNG0001H	1.040212977	0.61182162	0.60884417	0.256493767	0.413954765	0.211846381	-0.206728578	0.365529266	0.579454365	0.4483938	0.601494401	0.428980524
VNG0002G	1.089215426	0.674718868	0.598730475	0.521229826	0.306240551	0.248229402	-0.051067044	0.204877575	0.914371634	0.574874545	0.701292796	0.601490998
VNG0003C	1.427949156	0.933847001	0.881663346	0.973850189	0.507233456	0.329857037	0.464744573	0.850949306	1.338469234	1.054127128	1.060196183	0.607716755
VNG0005H	1.437643384	0.068475953	0.011947207	1.792207583	-0.485625215	-0.128401977	-0.044543217	0.061760351	0.058391141	1.503945921	0.420294738	0.022851553
VNG0006G	0.953050339	0.918991369	0.778318356	0.867856529	0.858809026	0.645443017	0.752961355	0.308986849	0.204753881	0.968768559	0.987882083	0.685047053
VNG0008G	0.602055592	0.635819083	0.375273089	0.459429702	-0.088493005	0.234001381	-0.031500972	-0.270218129	0.534918896	0.682789222	0.354679669	0.519297459
VNG0009G	-0.120322992	0.16836969	0.032744574	-0.257207013	0.01868051	0.426487828	-0.321497215	0.002984037	0.845494007	0.518702434	-0.019780704	0.353719969
VNG0011C	-1.206140137	-0.253401717	-1.173266166	-0.136798287	-1.276237402	-0.212039478	-0.587016873	-0.746038454	-0.728553677	0.109063333	-0.819605819	-0.376349069
VNG0013C	0.833240522	1.088584453	0.736272884	0.661271404	1.203675668	0.612850691	1.10023326	1.330003688	1.78750164	0.584211388	0.7752122	0.62833453
VNG0014C	1.713781668	0.735040238	-1.3996282	0.355393124	-0.632437136	0.011435136	1.43983762	-1.195432933	-0.885533998	-0.589537396	-0.616314415	-1.068386025
VNG0015H	1.063117993	1.476091048	1.772102881	0.306485273	1.701666552	2.129895502	0.423984492	0.063604058	0.874034596	0.718543369	2.189419075	1.522804865
VNG0016H	-0.162434453	1.522141115	2.016650716	0.250960169	1.164462019	1.79736971	-1.187995062	-0.387116458	0.426068322	0.318693674	2.222371415	1.582016658
VNG0017H	0.479634343	-0.579679564	-0.390985629	0.839506241	0.700634145	0.924475298	0.984323105	0.487298251	-0.130666581	-0.188707752	0.440613915	0.473196383
VNG0018H	1.23545223	-0.463160306	0.087106852	0.576250525	-0.02715896	-0.898693726	-0.211168702	-0.450899615	-0.153216815	0.087558489	0.641339142	1.123258544
VNG0019H	-0.518018976	-0.21625496	0.347143051	-0.675129126	0.437427324	0.484460177	-1.484102881	-0.580820094	-0.179528489	-0.929409974	0.193026722	0.265725721
VNG0020H	0.487627519	0.704078803	0.389545016	1.26782288	-0.223390227	-0.030066324	0.811966086	0.083802281	-0.5388668	0.392870363	0.549657101	0.339689121
VNG0021H	0.173850381	-0.544214804	-0.924139143	-0.53804738	-0.492817741	-0.715641744	0.402691696	-0.401527822	-0.940683394	-0.410408974	-0.798402532	-0.54667103
VNG0022H	-0.793530878	1.235347808	1.232064898	-0.534708285	-0.774899632	0.293689751	0.237900322	-0.871843879	0.864667454	-0.555228042	0.195359478	0.4988646
VNG0023H	1.223258614	1.518398977	0.017253714	0.906895848	1.330397241	0.284875095	1.247252233	-0.501641511	0.46267611	-0.955912424	1.176135641	1.018833909
VNG0024H	-0.368667117	0.920775621	0.096658947	0.273510883	0.608886466	0.75457608	0.551259488	-0.461696049	-0.184786105	-0.023688349	0.762479823	0.584450134
VNG0025H	1.328489364	1.020394762	0.579045559	2.350851903	1.589997364	1.601577457	0.741474899	0.603756163	0.061628152	2.273304545	1.542371691	1.25073085
VNG0026C	1.689891269	1.28952155	0.74475896	1.718743417	0.810423039	0.768527875	-2.361573308	-1.113245141	-0.247070457	1.72919096	0.876703948	0.671878565
VNG0027H	1.511640041	-0.570372402	0.670339637	-0.376520049	1.326075042	0.4973952	1.76762838	-0.701363819	0.291676872	-0.442492891	1.09065626	0.578569572
VNG0028C	0.143871786	0	0.454462749	0.357097048	0.145728404	0.311330679	1.386772107	1.545665763	0.973870073	-0.711484152	0.294530971	0.214424424
VNG0029H	1.439290018	0.518224416	0.787268711	-0.180906145	1.336181092	0.609791916	1.11628983	0.392626534	0.373277852	0.769780398	1.247192674	0.198643874
VNG0030H	0.255062429	1.184769788	-0.927740713	0.293758044	0.753877956	1.318423112	-1.810678446	-0.382615738	0.194083408	1.214081594	0.523564994	1.253065278
VNG0031H	0.491097759	0.73444206	-1.472646016	1.308213966	0.235440708	-1.055594807	-1.210284237	-1.495212229	-0.884698166	1.191078007	-0.116412754	-1.056758639
