PeakID,Chromosome,Start Position,Stop Position,T0 min,T4 min,T12 min,T20 min,T40 min,T60 min
Msn2-chr01-124873,chr01,124714,125032,0.392518822,0.904649788,0.889148239,0.486945309,0.559428068,0.427108872
Msn2-chr01-139156,chr01,138858,139400,0.403223197,0.300459513,0.908439578,1.151813522,0.781738827,0.985314584
Msn2-chr01-139993,chr01,139338,140104,0.232824855,1.201540379,0.29879163,0.859280472,1.090937349,0.944889228
Msn2-chr01-140529,chr01,139978,140424,0.593539557,0.479672736,0.480538239,1.264451225,1.392465326,1.348312483
Msn2-chr01-141673,chr01,141034,142248,0.115263884,1.440779892,2.653045948,2.514413922,1.46145131,0.767187963
Msn2-chr01-142097,chr01,142474,142888,0.258050351,1.167405078,1.257325422,0.846579969,0.42600619,-0.447519245
Msn2-chr01-151465,chr01,151146,151528,-0.268996648,-0.53658087,0.323037657,0.609102565,0.248116795,0.090088885
Msn2-chr01-165929,chr01,166026,166568,1.040470996,1.059989074,1.25530438,1.376445895,1.031048191,0.951746656
Msn2-chr01-181177,chr01,180970,181384,0.582110049,0.204952004,0.88091176,0.897383289,0.71840618,0.645297888
Msn2-chr01-182685,chr01,182410,182984,0.63779956,0.66953681,1.065808294,1.058676312,0.790562853,0.842512836
Msn2-chr01-183641,chr01,183146,184072,0.015162821,-0.120211762,0.883197842,0.67486624,0.040225792,-0.028446751
Msn2-chr01-184585,chr01,184298,184744,-0.111898146,0.006396093,0.640185822,0.684806924,-0.146588831,0.018657895
Msn2-chr01-190025,chr01,189866,190280,0.206748266,2.044794888,1.281511841,0.628648613,0.620801184,-0.586326916
Msn2-chr01-20894,chr01,20682,20968,0.00739764,0.750188779,1.396822965,0.6964953,0.259650616,-0.096482702
Msn2-chr01-211145,chr01,210858,211400,-0.085822939,0.282403189,1.042288335,0.717590172,0.315166134,-0.338008681
Msn2-chr01-220084,chr01,219914,220136,-0.183037926,0.58338555,0.766735102,0.001504159,0.428973705,-0.300597697
Msn2-chr01-229865,chr01,229642,230312,0.968467427,1.86371403,1.97635942,1.801369512,1.530430226,1.647073303
Msn2-chr01-28713,chr01,28458,28840,-0.001148167,0.299672277,1.1406838,1.407368905,0.506357883,0.098324661
Msn2-chr01-32857,chr01,32458,33128,-0.02318585,1.546268945,1.144335348,0.284097155,0.276455298,0.135052763
Msn2-chr01-34225,chr01,33674,34280,0.2055709,1.894953494,1.035462468,0.366077164,0.503820848,0.607262299
Msn2-chr01-35425,chr01,35178,35592,0.367200592,1.231461491,0.459125496,0.206682452,0.721807827,1.328926636
Msn2-chr01-386,chr01,1,392,1.075424884,1.646893739,1.9323675,1.909051356,1.566484516,1.593623108
Msn2-chr01-61353,chr01,61226,61608,0.398626104,2.042463759,0.57766211,0.236978403,0.889677978,0.985487189
Msn2-chr01-68473,chr01,68458,69000,0.259585774,2.308231901,1.875818045,1.095671617,0.691864248,0.360202832
Msn2-chr01-69977,chr01,69674,70120,-0.163133599,0.182601494,1.054029212,0.737089222,0.073662946,-0.173039723
Msn2-chr01-72159,chr01,71658,73128,0.962521975,1.741134842,1.458991776,1.348160587,1.085095649,0.69227736
Msn2-chr01-92681,chr01,92490,92840,-0.593349929,-0.657933345,0.990254525,0.912924549,0.031039924,-0.156652055
Msn2-chr02-101087,chr02,100906,101352,0.175765238,1.225298031,1.610977315,1.548428754,1.26768545,1.002728986
Msn2-chr02-136100,chr02,135818,136424,-0.171964919,1.368517099,1.567366039,1.148228146,0.447444666,-0.180218852
Msn2-chr02-140745,chr02,140266,141128,-0.006727162,1.490486147,1.697381629,1.18567865,0.282077817,-0.024826799
Msn2-chr02-159813,chr02,159626,160168,-0.207345957,1.316955808,1.369135361,0.90913972,0.759301467,0.498796858
Msn2-chr02-165201,chr02,164938,165576,-0.16332849,2.708685972,2.935714021,1.909594089,0.692333066,0.256065557
Msn2-chr02-168121,chr02,167850,168328,0.0443,0.870055625,0.691627423,0.55785982,0.178328044,-0.418251083
Msn2-chr02-181,chr02,1,328,0.081856761,0.10632898,0.475195662,0.999370165,0.484422554,0.332008348
Msn2-chr02-191945,chr02,191530,192360,-0.218268044,0.22386047,0.881111216,0.707361229,0.017736278,-0.069666972
Msn2-chr02-193865,chr02,193482,194184,-0.188872081,1.659903078,1.392149757,0.287475277,0.199272259,-0.688463651
Msn2-chr02-197677,chr02,197290,197992,0.466884299,0.398548888,0.947251395,0.929187213,0.815847409,0.57983818
Msn2-chr02-203545,chr02,203306,203752,0.062471689,0.980167444,0.767004802,0.227815847,0.347712345,-0.088750902
Msn2-chr02-217108,chr02,216810,217256,0.227199896,2.064874037,1.460496061,0.635761117,0.675957807,0.171072783
Msn2-chr02-221612,chr02,221546,221960,0.562979697,2.194094027,2.616353274,1.847857605,0.762521631,0.445271594
Msn2-chr02-226844,chr02,226922,227400,0.707867287,0.545910423,1.19317589,0.841797978,0.730777268,0.835322194
Msn2-chr02-236281,chr02,235690,236520,-0.133256546,1.283430551,1.517372204,0.609560648,-0.153026327,-0.188656655
Msn2-chr02-236814,chr02,236618,237000,0.501546938,0.837965343,1.065922566,0.793903103,0.359355516,0.298608204
Msn2-chr02-254708,chr02,254570,254984,0.063341697,-0.101810824,0.6315474,1.06231366,0.402732851,0.371901962
Msn2-chr02-255742,chr02,255338,255720,0.619904324,0.525628997,1.354975612,0.809793749,0.533185105,0.835639887
Msn2-chr02-256389,chr02,256234,256648,0.534271075,1.093323685,1.386906031,0.795264174,0.630202089,0.663178922
Msn2-chr02-260198,chr02,260138,260584,0.553119239,1.84397645,2.294137286,1.746838977,0.880171984,0.537648918
Msn2-chr02-265193,chr02,265098,265480,0.31927495,-0.016605402,0.635722653,0.847217361,0.277142735,0.30248914
Msn2-chr02-270057,chr02,269706,270312,0.047266391,1.608219617,0.874237813,0.043859312,0.354219572,-0.191938205
Msn2-chr02-278521,chr02,278250,278792,-0.220448627,0.936517551,0.735765708,0.151474093,0.056599686,0.238009074
Msn2-chr02-292033,chr02,291722,292264,-0.188302657,0.280130712,0.949775183,0.717215499,0.252508296,-0.211712925
Msn2-chr02-311513,chr02,311338,311720,-0.529210261,0.314833076,0.486196745,0.635835239,-0.172074614,-0.271617824
Msn2-chr02-326828,chr02,326634,327080,0.690376854,0.686151265,1.210514418,1.065261235,1.034307366,0.836085077
Msn2-chr02-337081,chr02,336842,337192,-0.181157148,1.15267451,1.082853814,0.810150907,0.177390005,0.190850525
Msn2-chr02-339361,chr02,339050,339528,-0.092534807,0.395744785,1.123314263,0.788337819,0.350942479,0.617944981
Msn2-chr02-342137,chr02,342218,342568,-0.205104969,0.815611884,2.129279443,1.843968124,0.00149748,-0.16966229
Msn2-chr02-347645,chr02,347402,347816,0.044315628,0.423414698,1.056163013,0.82673048,0.775581482,0.561995434
Msn2-chr02-351172,chr02,350954,351432,-0.030330704,0.721591925,1.668140089,0.906643699,0.074064636,0.203376321
Msn2-chr02-36457,chr02,36330,36616,0.858960598,1.577240062,1.873190723,1.526255588,1.364299989,0.68089828
Msn2-chr02-371313,chr02,370858,371624,-0.181486212,1.274508907,1.908078469,1.034630847,0.076305385,-0.041292952
Msn2-chr02-375869,chr02,375658,376424,-0.188170435,2.016768535,2.645448361,1.778350364,0.535242281,0.065345275
Msn2-chr02-378873,chr02,378570,379272,-0.288463259,1.040425092,1.793866361,1.329127085,0.062354051,-0.18545594
Msn2-chr02-381113,chr02,380362,381800,0.139987441,1.306033878,2.164467727,1.884333635,0.92523478,0.729531044
Msn2-chr02-392841,chr02,392362,393128,-0.258286918,1.495010332,1.651579607,1.111495552,0.425668912,-0.191819991
Msn2-chr02-393433,chr02,393386,393832,0.487433662,0.667986401,0.685162399,0.624345619,0.278944276,0.897890216
Msn2-chr02-406182,chr02,405642,406312,0.417261522,0.857042102,1.239700795,1.191053414,0.869880816,0.548260575
Msn2-chr02-407396,chr02,406922,407464,-0.147742141,0.862545646,1.76984334,1.580563919,0.582099047,0.138351707
Msn2-chr02-408657,chr02,408266,409032,0.049517376,1.592948409,2.153622871,1.241103437,0.387638286,-0.273760669
Msn2-chr02-415614,chr02,415402,415816,0.072799361,1.361354731,0.870697093,0.392287632,0.498616082,-0.107849617
Msn2-chr02-419497,chr02,418922,420264,-0.104170373,1.13927677,2.369427017,2.041763408,0.704832199,0.527898392
Msn2-chr02-444630,chr02,444586,445032,-0.115260675,1.386005735,2.527986903,2.092705578,1.143186269,0.903168698
Msn2-chr02-452286,chr02,452106,452456,-0.488965301,1.189455197,1.266756409,0.916068757,-0.088187214,-0.529789923
Msn2-chr02-466209,chr02,465802,466184,-0.220927764,-0.067419498,0.847322956,0.849427892,0.47186642,-0.66114572
Msn2-chr02-466497,chr02,465994,467176,-0.032971663,1.604819951,1.630192728,1.109922252,0.434233512,-0.18927146
Msn2-chr02-477657,chr02,477066,477320,-0.290633197,1.334733897,1.625463391,0.837252351,0.739469128,1.627799053
Msn2-chr02-490581,chr02,490122,491048,0.387498847,2.789190017,2.621239916,1.4955807,1.07661842,0.72373472
Msn2-chr02-504548,chr02,504266,504680,-0.233482014,0.133519979,1.050731354,0.994820626,0.285168888,0.552367934
Msn2-chr02-515737,chr02,515562,515976,0.075217674,-0.166032326,0.598471074,0.643286105,0.399760024,0.014299054
Msn2-chr02-539929,chr02,539562,540264,-0.251004771,0.094877965,0.984887077,0.811672804,0.195025875,0.107509135
Msn2-chr02-544718,chr02,544458,545000,-0.351855244,0.317678843,1.654020758,1.341706084,0.434579638,0.143011254
Msn2-chr02-555177,chr02,554602,555272,0.088817107,1.723061899,2.052688552,1.628030389,0.595265763,0.446662551
Msn2-chr02-555513,chr02,555338,556232,0.011943414,1.131397819,1.7922856,1.102132248,0.529639632,0.147171481
Msn2-chr02-561201,chr02,560938,561448,-0.315436406,-0.037981458,0.731931716,0.720369525,0.157647568,-0.35531873
Msn2-chr02-565124,chr02,565002,565352,0.276680963,1.359341903,1.180234211,0.839912291,0.515168712,-0.410851298
Msn2-chr02-575812,chr02,576010,576360,-0.611395388,-0.273654603,1.13212126,1.212937901,0.114878487,-0.34308712
Msn2-chr02-586137,chr02,585738,586536,-0.231268376,-0.196807632,0.896295101,0.706220732,0.170885143,0.039056459
Msn2-chr02-595753,chr02,595562,596008,-0.522945593,-0.124314461,0.739441152,0.678642231,-0.315391494,-0.263958796
Msn2-chr02-606049,chr02,605866,606248,0.382499614,1.478260232,1.076381791,0.947681886,0.284288832,0.558583883
Msn2-chr02-6131,chr02,5642,6216,0.893375709,0.933608333,1.696510461,1.691932641,1.205642353,1.240629717
Msn2-chr02-614045,chr02,613610,613992,0.48219429,0.133302567,1.136281041,0.837079589,0.351062362,0.619420903
Msn2-chr02-625321,chr02,624970,625800,-0.053084268,0.122982178,1.008298249,0.914407149,0.301625204,0.260840509
Msn2-chr02-642861,chr02,642634,643144,0.212141893,1.29770461,1.742159604,1.400404664,0.845300666,0.248476062
Msn2-chr02-645252,chr02,644906,645384,0.225682205,0.197713107,0.907872736,1.03460261,0.568882856,0.491108592
Msn2-chr02-651473,chr02,651210,651624,0.179203432,1.324590736,1.211748919,0.721962495,0.63930488,0.764282872
Msn2-chr02-662449,chr02,662154,662696,-0.367576877,0.069842981,0.747500462,0.666352277,0.120526294,0.179244596
Msn2-chr02-680425,chr02,680202,680712,0.60063449,1.64122389,1.146375795,0.563103389,0.681103339,0.244836672
Msn2-chr02-681966,chr02,681738,682152,-0.383785475,0.753293465,0.921621477,0.66353877,0.57340242,0.0243194
Msn2-chr02-697921,chr02,697738,698088,0.256302169,0.19652473,1.293486131,0.95257801,0.408083996,-0.150064291
Msn2-chr02-707201,chr02,706826,707432,0.01409837,0.604035123,1.791541597,1.4954341,0.526366097,0.502297975
Msn2-chr02-707630,chr02,707626,707976,-0.233117576,-0.214295792,1.268347403,1.513786567,1.10058631,1.099525396
Msn2-chr02-760969,chr02,760682,761224,-0.278804225,-0.272332915,0.589578456,0.567638457,0.171136803,-0.04846512
