Gene,Promoter,Chr,Start,Stop,Flo8_Exp,Flo8_Obs,Flo8_pVal,Mss11_Exp,Mss11_Obs,Mss11_pVal,Mfg1_Exp,Mfg1_Obs,Mfg1_pVal,Sok2_Exp,Sok2_Obs,Sok2_pVal,Ste12_Exp,Ste12_Obs,Ste12_pVal,Tec1_Exp,Tec1_Obs,Tec1_pVal,Mit1_Exp,Mit1_Obs,Mit1_pVal,Nrg1_Exp,Nrg1_Obs,Nrg1_pVal,Sfl1_Exp,Sfl1_Obs,Sfl1_pVal,Phd1_Exp,Phd1_Obs,Phd1_pVal,Mga1_Exp,Mga1_Obs,Mga1_pVal,Rim101_Exp,Rim101_Obs,Rim101_pVal,Rlm1_Exp,Rlm1_Obs,Rlm1_pVal,Rtg1_Exp,Rtg1_Obs,Rtg1_pVal,Skn7_Exp,Skn7_Obs,Skn7_pVal,Smp1_Exp,Smp1_Obs,Smp1_pVal,Fkh1_Exp,Fkh1_Obs,Fkh1_pVal,Dig1_Exp,Dig1_Obs,Dig1_pVal,Gln3_Exp,Gln3_Obs,Gln3_pVal,Hms1_Exp,Hms1_Obs,Hms1_pVal,Msn1_Exp,Msn1_Obs,Msn1_pVal,Hot1_Exp,Hot1_Obs,Hot1_pVal,Hms2_Exp,Hms2_Obs,Hms2_pVal,Yap6_Exp,Yap6_Obs,Yap6_pVal,Msn2_Exp,Msn2_Obs,Msn2_pVal,Msn4_Exp,Msn4_Obs,Msn4_pVal,Gcn4_Exp,Gcn4_Obs,Gcn4_pVal,Rgm1_Exp,Rgm1_Obs,Rgm1_pVal
YAL063C,FLO9,1,11783,10861,2.0839,2,6.16E-01,1.7763,0,1.00E+00,3.3878,3,6.58E-01,1.8768,11,4.61E-06,2.1094,3,3.53E-01,2.1144,2,6.24E-01,1.836,52,0.00E+00,1.7306,3,2.51E-01,1.5977,27,0.00E+00,3.4401,29,0.00E+00,2.5979,5,1.22E-01,1.4209,0,1.00E+00,1.4065,0,1.00E+00,1.1663,4,3.09E-02,1.3854,1,7.50E-01,1.1762,0,1.00E+00,2.2029,0,1.00E+00,2.5113,0,1.00E+00,1.6266,2,4.84E-01,1.3749,0,1.00E+00,1.4175,2,4.14E-01,1.4542,0,1.00E+00,1.9959,0,1.00E+00,1.6916,1,8.16E-01,1.5557,0,1.00E+00,1.8414,1,8.41E-01,1.2261,0,1.00E+00,1.5068,3,1.93E-01
YAL062W,GDH3,1,15355,16728,3.1677,2,8.25E-01,2.5526,1,9.22E-01,5.7755,0,1.00E+00,2.7536,1,9.36E-01,3.2189,0,1.00E+00,3.2287,0,1.00E+00,2.672,1,9.31E-01,2.4611,2,7.05E-01,2.1954,2,6.44E-01,5.8801,8,2.40E-01,4.1957,6,2.46E-01,1.8418,4,1.16E-01,1.8131,0,1.00E+00,1.3325,0,1.00E+00,1.7708,0,1.00E+00,1.3524,1,7.41E-01,3.4058,1,9.67E-01,4.0227,6,2.18E-01,2.2532,3,3.92E-01,1.7497,0,1.00E+00,1.835,3,2.79E-01,1.9084,0,1.00E+00,2.9919,5,1.83E-01,2.3832,5,9.38E-02,2.1115,1,8.79E-01,2.6829,2,7.48E-01,1.4523,0,1.00E+00,2.0137,1,8.67E-01
YAL061W,YAL061W,1,17236,18489,8.0451,1,1.00E+00,6.046,2,9.83E-01,16.5205,3,1.00E+00,6.6991,4,9.01E-01,8.2113,1,1.00E+00,8.2433,2,9.98E-01,6.4339,1,9.98E-01,5.7487,5,6.80E-01,4.8852,2,9.56E-01,16.8604,13,8.58E-01,11.3861,6,9.70E-01,3.7358,2,8.87E-01,3.6425,0,1.00E+00,2.0808,1,8.75E-01,3.5053,0,1.00E+00,2.1452,0,1.00E+00,8.8187,1,1.00E+00,10.8236,2,1.00E+00,5.0731,3,8.81E-01,3.4367,0,1.00E+00,3.7137,1,9.76E-01,3.9523,0,1.00E+00,7.4735,4,9.40E-01,5.4953,5,6.42E-01,4.6123,4,6.76E-01,6.4694,9,2.05E-01,2.4699,1,9.15E-01,4.2945,1,9.86E-01
YAL060W,BDH1,1,18942,20090,17.8,4,1.00E+00,13.0327,7,9.75E-01,38.0104,7,1.00E+00,14.5903,3,1.00E+00,18.1962,3,1.00E+00,18.2725,3,1.00E+00,13.9578,2,1.00E+00,12.3239,6,9.83E-01,10.2646,7,8.86E-01,38.821,30,9.38E-01,25.7669,14,9.96E-01,7.5239,8,4.79E-01,7.3012,0,1.00E+00,3.5772,2,8.72E-01,6.9741,1,9.99E-01,3.7308,3,7.20E-01,19.6447,12,9.75E-01,24.4256,4,1.00E+00,10.7127,1,1.00E+00,6.8105,9,2.47E-01,7.4712,3,9.79E-01,8.04,8,5.53E-01,16.4368,11,9.36E-01,11.7195,15,2.03E-01,9.614,15,6.49E-02,14.0423,11,8.27E-01,4.505,2,9.39E-01,8.8561,11,2.77E-01
YAL059C-A,YAL059C-A,1,20704,20282,1.5419,1,7.86E-01,1.3882,0,1.00E+00,2.1939,0,1.00E+00,1.4384,0,1.00E+00,1.5547,0,1.00E+00,1.5572,0,1.00E+00,1.418,1,7.58E-01,1.3653,1,7.45E-01,1.2989,0,1.00E+00,2.22,1,8.91E-01,1.7989,1,8.35E-01,1.2104,1,7.02E-01,1.2033,0,1.00E+00,1.0831,0,1.00E+00,1.1927,0,1.00E+00,1.0881,0,1.00E+00,1.6014,0,1.00E+00,1.7557,0,1.00E+00,1.3133,0,1.00E+00,1.1874,0,1.00E+00,1.2087,1,7.01E-01,1.2271,0,1.00E+00,1.498,0,1.00E+00,1.3458,3,1.54E-01,1.2779,0,1.00E+00,1.4207,2,4.15E-01,1.1131,0,1.00E+00,1.2534,0,1.00E+00
YAL059W,ECM1,1,20295,20933,2.6258,0,1.00E+00,2.1645,0,1.00E+00,4.5817,0,1.00E+00,2.3152,0,1.00E+00,2.6641,0,1.00E+00,2.6715,0,1.00E+00,2.254,1,8.95E-01,2.0959,0,1.00E+00,1.8966,0,1.00E+00,4.6601,6,3.25E-01,3.3968,4,4.41E-01,1.6313,1,8.04E-01,1.6098,0,1.00E+00,1.2494,0,1.00E+00,1.5781,0,1.00E+00,1.2643,0,1.00E+00,2.8043,0,1.00E+00,3.267,0,1.00E+00,1.9399,0,1.00E+00,1.5623,0,1.00E+00,1.6262,0,1.00E+00,1.6813,1,8.14E-01,2.4939,1,9.17E-01,2.0374,0,1.00E+00,1.8336,1,8.40E-01,2.2622,1,8.96E-01,1.3392,0,1.00E+00,1.7603,1,8.28E-01
YAL058W,CNE1,1,21250,22758,1.5419,0,1.00E+00,1.3882,0,1.00E+00,2.1939,0,1.00E+00,1.4384,0,1.00E+00,1.5547,0,1.00E+00,1.5572,0,1.00E+00,1.418,1,7.58E-01,1.3653,0,1.00E+00,1.2989,0,1.00E+00,2.22,2,6.50E-01,1.7989,1,8.35E-01,1.2104,0,1.00E+00,1.2033,0,1.00E+00,1.0831,0,1.00E+00,1.1927,0,1.00E+00,1.0881,0,1.00E+00,1.6014,0,1.00E+00,1.7557,0,1.00E+00,1.3133,0,1.00E+00,1.1874,0,1.00E+00,1.2087,1,7.01E-01,1.2271,1,7.07E-01,1.498,0,1.00E+00,1.3458,3,1.54E-01,1.2779,0,1.00E+00,1.4207,0,1.00E+00,1.1131,0,1.00E+00,1.2534,0,1.00E+00
YAL056C-A,YAL056C-A,1,22832,22482,2.6258,0,1.00E+00,2.1645,1,8.85E-01,4.5817,0,1.00E+00,2.3152,0,1.00E+00,2.6641,3,4.98E-01,2.6715,0,1.00E+00,2.254,1,8.95E-01,2.0959,0,1.00E+00,1.8966,0,1.00E+00,4.6601,5,4.98E-01,3.3968,6,1.29E-01,1.6313,0,1.00E+00,1.6098,0,1.00E+00,1.2494,0,1.00E+00,1.5781,2,4.68E-01,1.2643,1,7.18E-01,2.8043,1,9.39E-01,3.267,0,1.00E+00,1.9399,2,5.77E-01,1.5623,0,1.00E+00,1.6262,0,1.00E+00,1.6813,0,1.00E+00,2.4939,0,1.00E+00,2.0374,1,8.70E-01,1.8336,3,2.78E-01,2.2622,1,8.96E-01,1.3392,2,3.87E-01,1.7603,1,8.28E-01
YAL056W,GPB2,1,23045,25687,3.7097,1,9.76E-01,2.9408,1,9.47E-01,6.9694,0,1.00E+00,3.192,0,1.00E+00,3.7736,3,7.27E-01,3.7859,0,1.00E+00,3.09,1,9.55E-01,2.8264,0,1.00E+00,2.4943,0,1.00E+00,7.1002,4,9.23E-01,4.9947,5,5.59E-01,2.0522,0,1.00E+00,2.0163,0,1.00E+00,1.4157,0,1.00E+00,1.9636,2,5.84E-01,1.4404,1,7.63E-01,4.0072,1,9.82E-01,4.7783,0,1.00E+00,2.5666,2,7.26E-01,1.9372,0,1.00E+00,2.0437,0,1.00E+00,2.1355,0,1.00E+00,3.4898,0,1.00E+00,2.729,3,5.13E-01,2.3894,5,9.45E-02,3.1036,0,1.00E+00,1.5653,2,4.64E-01,2.2671,1,8.96E-01
YAL055W,PEX22,1,25963,26505,1.5419,0,1.00E+00,1.3882,0,1.00E+00,2.1939,0,1.00E+00,1.4384,0,1.00E+00,1.5547,0,1.00E+00,1.5572,2,4.61E-01,1.418,0,1.00E+00,1.3653,0,1.00E+00,1.2989,0,1.00E+00,2.22,7,7.82E-03,1.7989,0,1.00E+00,1.2104,2,3.41E-01,1.2033,0,1.00E+00,1.0831,0,1.00E+00,1.1927,0,1.00E+00,1.0881,3,9.72E-02,1.6014,1,7.98E-01,1.7557,1,8.27E-01,1.3133,1,7.31E-01,1.1874,0,1.00E+00,1.2087,1,7.01E-01,1.2271,0,1.00E+00,1.498,3,1.91E-01,1.3458,1,7.40E-01,1.2779,0,1.00E+00,1.4207,1,7.58E-01,1.1131,1,6.71E-01,1.2534,2,3.57E-01
YAL054C,ACS1,1,28808,26667,9.129,3,9.94E-01,6.8223,4,9.08E-01,18.9083,6,1.00E+00,7.5759,2,9.96E-01,9.3207,1,1.00E+00,9.3577,3,9.95E-01,7.2699,0,1.00E+00,6.4793,2,9.89E-01,5.4829,2,9.73E-01,19.3005,22,2.98E-01,12.984,12,6.45E-01,4.1567,1,9.84E-01,4.049,8,5.41E-02,2.247,3,3.90E-01,3.8907,1,9.80E-01,2.3213,4,2.05E-01,10.0216,0,1.00E+00,12.335,10,7.86E-01,5.6997,8,2.16E-01,3.8115,2,8.94E-01,4.1312,5,3.97E-01,4.4065,2,9.34E-01,8.4694,9,4.73E-01,6.1869,6,5.84E-01,5.1681,9,7.96E-02,7.3108,6,7.37E-01,2.696,1,9.33E-01,4.8013,1,9.92E-01
YAL053W,FLC2,1,29687,32038,10.2129,3,9.98E-01,7.5986,4,9.45E-01,21.296,6,1.00E+00,8.4527,2,9.98E-01,10.4302,1,1.00E+00,10.472,3,9.98E-01,8.1059,0,1.00E+00,7.2099,2,9.94E-01,6.0806,2,9.84E-01,21.7406,22,5.06E-01,14.5819,12,7.86E-01,4.5776,1,9.90E-01,4.4555,8,8.30E-02,2.4133,3,4.34E-01,4.2761,1,9.86E-01,2.4975,4,2.42E-01,11.2245,0,1.00E+00,13.8463,9,9.33E-01,6.3263,7,4.46E-01,4.1864,2,9.21E-01,4.5487,5,4.77E-01,4.8607,2,9.55E-01,9.4654,8,7.28E-01,6.8785,6,6.84E-01,5.7238,9,1.26E-01,8.1522,6,8.22E-01,2.9221,1,9.46E-01,5.3082,1,9.95E-01
YAL051W,OAF1,1,32352,35495,2.6258,0,1.00E+00,2.1645,0,1.00E+00,4.5817,1,9.90E-01,2.3152,1,9.01E-01,2.6641,1,9.30E-01,2.6715,0,1.00E+00,2.254,1,8.95E-01,2.0959,0,1.00E+00,1.8966,3,2.95E-01,4.6601,9,4.81E-02,3.3968,8,2.30E-02,1.6313,0,1.00E+00,1.6098,0,1.00E+00,1.2494,0,1.00E+00,1.5781,0,1.00E+00,1.2643,0,1.00E+00,2.8043,1,9.39E-01,3.267,2,8.37E-01,1.9399,6,1.45E-02,1.5623,1,7.90E-01,1.6262,0,1.00E+00,1.6813,1,8.14E-01,2.4939,4,2.41E-01,2.0374,1,8.70E-01,1.8336,2,5.47E-01,2.2622,3,3.94E-01,1.3392,0,1.00E+00,1.7603,1,8.28E-01
YAL049C,YAL049C,1,36385,35645,3.7097,1,9.76E-01,2.9408,0,1.00E+00,6.9694,2,9.93E-01,3.192,0,1.00E+00,3.7736,0,1.00E+00,3.7859,0,1.00E+00,3.09,1,9.55E-01,2.8264,1,9.41E-01,2.4943,0,1.00E+00,7.1002,6,7.12E-01,4.9947,3,8.75E-01,2.0522,1,8.72E-01,2.0163,0,1.00E+00,1.4157,0,1.00E+00,1.9636,0,1.00E+00,1.4404,2,4.22E-01,4.0072,3,7.63E-01,4.7783,1,9.92E-01,2.5666,2,7.26E-01,1.9372,5,4.72E-02,2.0437,2,6.06E-01,2.1355,1,8.82E-01,3.4898,2,8.63E-01,2.729,3,5.13E-01,2.3894,3,4.28E-01,3.1036,3,6.00E-01,1.5653,0,1.00E+00,2.2671,0,1.00E+00
YAL048C,GEM1,1,38579,36591,1,0,1.00E+00,1,1,6.32E-01,1,1,6.32E-01,1,0,1.00E+00,1,1,6.32E-01,1,0,1.00E+00,1,1,6.32E-01,1,2,2.64E-01,1,0,1.00E+00,1,1,6.32E-01,1,0,1.00E+00,1,1,6.32E-01,1,0,1.00E+00,1,0,1.00E+00,1,0,1.00E+00,1,0,1.00E+00,1,0,1.00E+00,1,0,1.00E+00,1,0,1.00E+00,1,0,1.00E+00,1,0,1.00E+00,1,0,1.00E+00,1,2,2.64E-01,1,0,1.00E+00,1,0,1.00E+00,1,1,6.32E-01,1,0,1.00E+00,1,0,1.00E+00
YAL047W-A,YAL047W-A,1,38374,38703,1.5419,1,7.86E-01,1.3882,0,1.00E+00,2.1939,1,8.89E-01,1.4384,0,1.00E+00,1.5547,0,1.00E+00,1.5572,0,1.00E+00,1.418,0,1.00E+00,1.3653,0,1.00E+00,1.2989,1,7.27E-01,2.22,1,8.91E-01,1.7989,1,8.35E-01,1.2104,1,7.02E-01,1.2033,0,1.00E+00,1.0831,0,1.00E+00,1.1927,0,1.00E+00,1.0881,0,1.00E+00,1.6014,1,7.98E-01,1.7557,0,1.00E+00,1.3133,1,7.31E-01,1.1874,0,1.00E+00,1.2087,0,1.00E+00,1.2271,0,1.00E+00,1.498,0,1.00E+00,1.3458,1,7.40E-01,1.2779,0,1.00E+00,1.4207,1,7.58E-01,1.1131,0,1.00E+00,1.2534,0,1.00E+00
YAL047C,SPC72,1,40647,38779,1.5419,0,1.00E+00,1.3882,0,1.00E+00,2.1939,0,1.00E+00,1.4384,0,1.00E+00,1.5547,0,1.00E+00,1.5572,0,1.00E+00,1.418,1,7.58E-01,1.3653,1,7.45E-01,1.2989,0,1.00E+00,2.22,2,6.50E-01,1.7989,2,5.37E-01,1.2104,0,1.00E+00,1.2033,1,7.00E-01,1.0831,0,1.00E+00,1.1927,0,1.00E+00,1.0881,1,6.63E-01,1.6014,4,7.90E-02,1.7557,1,8.27E-01,1.3133,0,1.00E+00,1.1874,2,3.33E-01,1.2087,0,1.00E+00,1.2271,1,7.07E-01,1.498,0,1.00E+00,1.3458,0,1.00E+00,1.2779,2,3.65E-01,1.4207,1,7.58E-01,1.1131,1,6.71E-01,1.2534,0,1.00E+00
