ORF,name,chr,start,end,exp_0min,exp_7min,exp_15min,exp_22min,exp_30min,exp_45min,exp_60min
YBR045C,GIP1,2,330091,330505,0,2.098884,2.26401,2.003694,2.160827,1.59619,1.15795
YBR069C,TAT1,2,378431,379218,0,-0.63632,-1.46049,-1.384824,-1.69866,-1.512574,-0.179146
YBR075W,,2,385983,386280,0,-0.964144,-0.838292,-0.457268,-0.243496,-0.221499,-0.043578
YBR091C,MRS5,2,427479,427692,0,-0.664511,-0.416124,-0.292684,-0.170944,-0.505083,-0.102416
YBR097W,VPS15,2,436707,436944,0,-0.37527,0.266713,0.600909,0.458934,-0.451457,0.36837
YBR115C,LYS2,2,473921,474386,0,-1.052818,-1.391237,-1.254343,-0.82047,-0.018876,0.736028
YBR121C,GRS1,2,483362,483964,0,-0.469247,-0.932178,-0.618062,-0.814115,-0.422341,0.207116
YCR053W,THR4,3,216440,216691,0,-0.665963,-1.007429,-0.834947,-0.656855,-0.550955,-0.079908
YCR062W,,3,224729,225557,0,0.943903,1.843779,2.247989,2.396758,1.118201,0.740468
YCR083W,TRX3,3,259265,259573,0,-0.067909,0.821837,1.129528,1.323879,0.695603,0.671749
YCR088W,ABP1,3,264463,265063,0,-0.199422,0.369243,0.709245,1.070122,0.57478,0.386689
YCR105W,ADH7,3,308171,309065,0,-0.563053,-0.078711,0.285801,0.466671,0.145157,0.02654
YDL004W,ATP16,4,442306,443025,0,-0.057088,0.538466,0.709461,0.731381,0.046668,0.348917
YDL022W,GPD1,4,410822,411821,0,3.461083,3.647082,3.244197,2.474773,1.489943,2.003997
YDL028C,MPS1,4,403289,403692,0,-0.13345,0.101091,0.050233,0.078671,0.185441,0.660203
YDR079W,PET100,4,602865,603059,0,-0.387533,0.302815,0.588804,0.778615,0.132416,0.320506
YDR085C,AFR1,4,616146,616923,0,1.650895,1.764517,1.418257,1.448646,1.181484,1.235241
YDR101C,ARX1,4,657463,658345,0,-2.987521,-3.632901,-3.007344,-2.239884,-0.957574,-0.680233
YDR107C,,4,671030,671264,0,-0.481769,-0.151821,0.054819,0.116907,-0.032929,0.320381
YDR125C,ECM18,4,702754,703229,0,-0.164151,0.073386,0.057245,-0.093568,-0.131529,-0.101672
YDR131C,,4,718456,718811,0,-0.12121,0.446423,0.124585,0.136273,-0.030019,0.088658
YDR155C,CPR1,4,768996,769520,0,0.822259,0.636914,0.965056,1.19723,0.920862,1.211398
YDR451C,YHP1,4,1362172,1362868,0,-1.442778,-1.518326,-0.975852,-0.140477,0.24286,0.569702
YDR469W,SDC1,4,1398690,1399004,0,-1.488364,-1.474706,-1.605786,-1.394049,-1.031933,-0.445116
