ORF,name,chr,start,end,Yap4_0min,Yap4_5min,Yap4_15min,Yap4_30min,Yap4_45min,Hot1_30min,Msn1_30min,Msn2_0min,Msn2_30min,Msn4_0min,Msn4_30min,Skn7_30min,Smp1_30min,Sko1_0min,Sko1_5min,Sko1_15min,Sko1_30min,Sko1_45min,Yap6_0min,Yap6_30min,Yap4_binding_pat,Sko1_binding_pat
YBR045C,GIP1,2,330091,330505,,,,,,,,,,,,,,,,,,,,,,
YBR069C,TAT1,2,378431,379218,,,,,,,,,,,,,,,,,,,,0.329,,
YBR075W,,2,385983,386280,,,,,,,,,,,,,,,,,,,,,,
YBR091C,MRS5,2,427479,427692,,,,,,,,,,,,,,,,,,,,,,
YBR097W,VPS15,2,436707,436944,,,,,,,,,,,,,,,,,,,,,,
YBR115C,LYS2,2,473921,474386,,,,,,,,,,,,,,,,,,,,,,
YBR121C,GRS1,2,483362,483964,,,,,,,,,,,,,,,,,,,,,,
YCR053W,THR4,3,216440,216691,,,,,,,,,,,,,,,,,,,,,,
YCR062W,,3,224729,225557,,,,,,,,,,,,,,,,,,,,,,
YCR083W,TRX3,3,259265,259573,,,,,,,,,,,,,,,,,,,,,,
YCR088W,ABP1,3,264463,265063,,,,,,,,,,,,,,,,,,,,,,
YCR105W,ADH7,3,308171,309065,,,,,,,,,,,,,,,,,,,,,,
YDL004W,ATP16,4,442306,443025,,,,,,,,,,,,,,0.342,0.384,0.541,0.462,0.456,,,,2
YDL022W,GPD1,4,410822,411821,1.241,1.846,2.384,2.514,2.477,3.526,0.425,,0.651,,,,,1.029,1.872,1.495,1.425,1.229,,0.952,2,3
YDL028C,MPS1,4,403289,403692,,,,,,,,,,,,,,,,,,,,,,
YDR079W,PET100,4,602865,603059,,,,,,,,,,,,,,,,,,,,,,
YDR085C,AFR1,4,616146,616923,,,,,,,,,,,,,,0.292,0.581,0.549,0.591,0.456,,,,2
YDR101C,ARX1,4,657463,658345,,,,,,,,,,,,,,,,,,,,,,
YDR107C,,4,671030,671264,,,,,,,,,,,,,,,,,,,,,,
YDR125C,ECM18,4,702754,703229,,,,,,,,,,,,,,,,,,,,,,
YDR131C,,4,718456,718811,,,,,,,,,,,,,,,,,,,,,,
YDR155C,CPR1,4,768996,769520,,,,,,,,,0.371,,,0.771,,0.224,0.513,0.33,0.403,0.278,,,,3
YDR451C,YHP1,4,1362172,1362868,,,,,,,,,,,,,,,,,,,,,,
YDR469W,SDC1,4,1398690,1399004,,,,,,,,,,,,,,,,,,,,,,
YDR475C,JIP4,4,1410085,1410443,,,,,,,,,,,,,,,,,,,,,,
YDR493W,,4,1435864,1436206,,,,,,,,,,,,,,,,,,,,,,
YDR499W,LCD1,4,1446984,1447819,,,,,,,,,,,,,,,,,,,,,,
YDR517W,GRH1,4,1476466,1477228,-0.106,0.456,0.523,0.599,0.413,,,,,,,,,,,,,,,,2,
YDR523C,SPS1,4,1487029,1487532,,,,,,,,,,,,,,,,,,,,,,
YER187W,,5,565225,566224,,,,,,,,,,,,,,,,,,,,,,
YFL002C,SPB4,6,146930,147126,,,,,,,,,,,,,,,,,,,,,,
YFL016C,MDJ1,6,106231,107230,,,,,,,0.479,,0.659,,,0.76,,0.742,1.239,1.006,0.808,0.933,,0.504,,3
YFL021W,GAT1,6,95008,95963,,,,,,,0.472,,0.514,,,0.812,0.339,0.519,0.664,0.691,0.978,0.505,,,,2
YFL038C,YPT1,6,55986,56335,,,,,,,,,,,,,,,,,,,,,,
YFL044C,OTU1,6,45561,45720,,,,,,,,,,,,,,,,,,,,,,
YFL062W,COS4,6,5426,6425,,,,,,,,,,,,,,0.212,0.463,0.765,0.791,0.654,,,,2
YFL068W,,6,1,52,,,,,,,,,,,,,,,,,,,,,,
YGL245W,GUS1,7,38780,39022,,,,,,,,,,,,,,,,,,,,,,
YGL251C,HFM1,7,31637,31910,,,,,,,,,,,,,,,,,,,,,,
YGR006W,PRP18,7,505863,506073,,,,,,,,,,,,,,,,,,,,,,
YGR012W,,7,512736,513162,,,,,,,,,,,,,,,,,,,,,,
YGR028W,MSP1,7,541329,542206,0.282,0.206,0.324,0.476,0.487,,,,,,,,,,,,,,,,3,
YGR034W,RPL26B,7,554971,555932,,,,,,,,,,,,0.36,,0.369,0.421,0.367,0.295,0.349,,,,1
YGR056W,RSC1,7,601145,601664,,,,,,,,,,,,,,,,,,,,,,
YHR005C-A,MRS11,8,115896,116895,0.419,0.204,0.53,0.79,0.811,,,,,,,,,,,,,,,,3,
YHR011W,DIA4,8,127485,127772,,,,,,,,,,,,,,,,,,,,,,
YHR028C,DAP2,8,167427,167669,,,,,,,,,,,,,,,,,,,,,,
YHR034C,PIH1,8,177992,178211,,,,,,,,,,,,,,,,,,,,,,
YHR050W,SMF2,8,207185,207646,,,,,,,,,,,,,,,,,,,,,,
YHR056C,RSC30,8,217836,218227,,,,,,,,,,,,,,,,,,,,,,
YHR073W,OSH3,8,241841,242582,,,,,,,,,,,,,,,,,,,,,,
YHR079C,IRE1,8,261593,262402,,,,,,,,,,,,,,,,,,,,,,
YIL157C,,9,47543,47690,,,,,,,,,,,,,,,,,,,,,,
YIR004W,DJP1,9,362921,363217,,,,,,,,,,,,,,,,,,,,,,
YIR010W,DSN1,9,374857,375427,,,,,,,,,,,,,,,,,,,,,,
YIR027C,DAL1,9,407640,408465,,,,,,,,,,,,,,,,,,,0.644,,,
YIR033W,MGA2,9,415614,416120,,,,,,,,,,,,,,,,,,,0.563,,,
YJL013C,MAD3,10,410956,411149,,,,,,,,,,,,,,,,,,,,,,
YJR095W,SFC1,10,608775,609689,,,,,,,,,,,,,,,,,,,,,,
YJR101W,RSM26,10,617248,618147,,,,,,,,,,,,,,,,,,,,,,
YJR119C,JHD2,10,646406,647041,,,,,,,,,,,,,,,,,,,,,,
YJR125C,ENT3,10,655879,656169,,,,,,,,,,,,,,,,,,,,,,
YJR142W,,10,696864,697055,,,,,,,,,,,,,,,,,,,,,,
YJR148W,BAT2,10,705187,705658,,,,,,,,,,,,,,,,,,,,,,
YKL004W,AUR1,11,434520,435222,,,,,,,,,,,,,,,,,,,,,,
YKL009W,MRT4,11,425518,425884,,,,,,,,,,,,,,,,,,,,,,
YKR086W,PRP16,11,599323,599498,,,,,,,,,,,,,,,,,,,,,,
YKR092C,SRP40,11,613528,614527,,,,,,,,,,,,,,,,,,,,,,
