Gene ID,Gene Symbol,Category,Chromosome,Loci Start,Loci End,Strand,Distance to TSS,PeakID,Significantly Enriched over WCE,T0 min,T4 min,T12 min,T20 min,T40 min,T60 min
YEL077W-A,,Exon/CD,chrv,394,1000,+,67,Msn2-chr05-697,n,0.404717745,1.490516294,0.44598068,0.077820839,0.44679371,0.18876824
YEL076C-A,,Exon/CD,chrv,4650,5160,-,209,Msn2-chr05-4905,n,0.316059561,1.482813184,0.061462635,-0.14538757,0.267034579,0.019078126
YEL074W,,Exon/CD,chrv,6090,6664,+,251,Msn2-chr05-6313,y,0.212368143,0.166764653,0.80464211,1.00389843,0.431159464,0.316890593
YEL071W,DLD3,Upstream,chrv,15690,16648,+,-186,Msn2-chr05-16142,y,0.130393644,1.256927357,2.063336091,1.38709312,0.194426944,0.317426324
YEL066W,HPA3,Exon/CD,chrv,26954,27432,+,526,Msn2-chr05-27193,n,0.019046828,1.232121295,0.424254084,0.198344866,0.277331659,0.612641799
YEL063C,CAN1,Upstream,chrv,33610,34152,-,-415,Msn2-chr05-33873,y,-0.374497018,-0.439951385,0.800173249,0.724964225,0.111214844,-0.745028382
YEL058W,PCM1,Exon/CD,chrv,43498,43880,+,437,Msn2-chr05-43689,n,0.12398913,1.822634464,0.523328976,-0.005069157,0.10910861,0.26004849
snR80,SNR80,Exon/CD,chrv,51850,52520,-,135,Msn2-chr05-52185,n,0.230720908,-0.246848919,-0.244453716,0.121605371,-0.303281301,0.272740318
YEL054C,RPL12A,Exon/CD,chrv,52522,53256,-,329,Msn2-chr05-52889,n,0.398775116,0.351907719,0.259213561,0.102020315,-0.005035025,-0.751821601
YEL052W,AFG1,Upstream,chrv,56234,56744,+,-82,Msn2-chr05-56489,n,-0.130954638,0.049021355,0.516480591,0.323947957,0.120766584,-0.048117738
snR67,SNR67,Exon/CD,chrv,61162,61672,+,65,Msn2-chr05-61425,n,0.410262249,-0.401320141,0.005470321,0.626528319,0.113593431,-0.388899071
tG(GCC)E,,Upstream,chrv,61994,62312,-,-193,Msn2-chr05-62137,n,0.416040313,0.247052905,0.351110682,0.708074377,0.246300342,0.207015548
YEL046C,GLY1,Exon/CD,chrv,67498,68232,-,927,Msn2-chr05-67817,n,0.786807412,1.017601992,0.627657575,1.002153436,0.551160403,0.484823567
YEL046C,GLY1,Upstream,chrv,68586,69000,-,-1,Msn2-chr05-69126,y,0.781739113,2.154595877,1.964378516,1.399827499,0.739976587,0.638633447
YEL040W,UTR2,Exon/CD,chrv,78570,79336,+,900,Msn2-chr05-78953,n,0.542410221,0.87483378,0.163915382,-0.07815552,0.069491483,-0.103260173
YEL037C,RAD23,Exon/CD,chrv,81802,82248,-,578,Msn2-chr05-82025,n,0.09527836,1.877298713,0.315051329,-0.193460111,0.377018181,0.016006517
YEL036C,ANP1,Exon/CD,chrv,83978,84360,-,383,Msn2-chr05-84169,n,0.062171437,1.619427937,0.280336622,0.094988663,0.011320342,0.431750355
YEL035C,UTR5,Exon/CD,chrv,85002,85576,-,256,Msn2-chr05-85279,y,0.245132605,2.949215634,3.001854366,1.826152828,1.2607036,1.184533769
tS(AGA)E,,Upstream,chrv,86314,86888,+,-3,Msn2-chr05-86563,y,0.521087415,1.164406361,1.424126373,1.14432939,0.817561327,0.531930357
YEL031W,SPF1,Exon/CD,chrv,90058,90568,+,55,Msn2-chr05-90313,n,0.049752494,0.227505141,0.561453666,0.671634386,0.078204279,0.398619998
YEL028W,,Exon/CD,chrv,98634,99528,+,413,Msn2-chr05-99081,n,0.395405556,0.023297216,0.220948054,0.316478232,0.216152346,1.057080558
tM(CAU)E,IMT4,Exon/CD,chrv,99914,100392,+,20,Msn2-chr05-100131,y,0.24267784,1.174561474,1.214012937,1.028914304,0.860682514,0.86158213
YEL027W,VMA3,Exon/CD,chrv,100682,101096,+,120,Msn2-chr05-100889,n,0.182331568,0.390324386,0.651781143,0.492408316,0.305732291,0.25390042
YEL024W,RIP1,Upstream,chrv,106794,107240,+,-243,Msn2-chr05-107017,n,-0.054758429,0.524097036,0.704179248,0.298985732,0.163660592,0.052809481
YEL021W,URA3,Exon/CD,chrv,116394,116968,+,514,Msn2-chr05-116579,y,0.681418705,2.849836332,2.453315181,3.245092289,1.279914059,2.088194443
RPR1,RPR1,Upstream,chrv,117802,118312,-,-22,Msn2-chr05-117862,y,0.604665,2.071155367,1.805513963,1.13880779,1.073983205,1.257178766
YEL017W,GTT3,Upstream,chrv,123050,123592,+,-336,Msn2-chr05-123229,y,0.123035114,3.050005761,2.801561177,1.828150964,0.772457583,0.268731453
YEL017W,GTT3,Exon/CD,chrv,124042,124648,+,688,Msn2-chr05-124345,n,-0.039133568,1.077881717,0.319713874,0.087311089,-0.07446062,0.061436382
tQ(UUG)E2,,Upstream,chrv,131018,131368,-,-40,Msn2-chr05-131193,y,0.194476644,-0.083497039,0.735625645,0.947000153,0.427473278,-0.071114628
YEL011W,GLC3,Upstream,chrv,132522,133160,+,-279,Msn2-chr05-132841,n,-0.124832722,0.410933212,0.675096391,0.549912625,0.233462418,0.270121697
tK(CUU)E1,,Upstream,chrv,135338,136040,-,-192,Msn2-chr05-135637,y,0.568184838,0.091705623,0.728286712,0.862971064,0.510465622,0.492884371
tR(UCU)E,,Exon/CD,chrv,138634,138728,+,15,Msn2-chr05-138708,y,1.18042822,1.432358942,2.039175613,1.656897547,1.386196213,1.356033758
YEL008C-A,,Upstream,chrv,140906,141640,-,-455,Msn2-chr05-141085,y,0.053189472,1.892524854,2.693418002,2.062199865,0.776415944,-0.035735188
YEL007W,MIT1,Exon/CD,chrv,143082,143560,+,1429,Msn2-chr05-143209,n,0.6750818,0.810988089,0.403101865,0.107090028,0.26674437,1.099878732
YER004W,FMP52,Upstream,chrv,159274,159656,+,-115,Msn2-chr05-159425,y,0.189533186,1.239446203,0.746688383,0.12170386,0.168378296,0.453517532
YER006W,NUG1,Exon/CD,chrv,163274,163784,+,806,Msn2-chr05-163529,n,-0.133821317,0.787901023,0.059366774,-0.257815079,0.0240206,0.379004819
YER011W,TIR1,Upstream,chrv,174506,175208,+,-391,Msn2-chr05-174857,n,-0.085693038,0.779568482,1.084593392,0.493620875,-0.007911509,0.348755125
tE(UUC)E1,,Exon/CD,chrv,176842,177384,+,14,Msn2-chr05-177233,y,0.504413663,0.274071064,0.84609682,0.905757112,0.743480572,0.574332176
YER018C,SPC25,Exon/CD,chrv,192202,192808,-,119,Msn2-chr05-192577,y,0.349577052,2.03070946,1.264882135,0.608711621,0.495408248,0.411886835
YER019C-A,SBH2,Exon/CD,chrv,194250,194760,-,34,Msn2-chr05-194625,y,-0.020691928,0.804258375,0.978708091,0.69467389,0.476246796,0.843943298
YER020W,GPA2,Upstream,chrv,194794,195496,+,-23,Msn2-chr05-195073,y,0.186128194,1.697966281,1.738762266,0.835606219,0.461671733,-0.154551599
YER021W,RPN3,Exon/CD,chrv,196778,197352,+,117,Msn2-chr05-197073,y,0.366021687,0.290856236,0.910178081,0.77211143,0.462575387,0.891472396
YER023W,PRO3,Exon/CD,chrv,200970,201384,+,101,Msn2-chr05-201177,n,0.369047096,0.65680715,0.531530303,0.089741295,0.534048969,0.685600209
tH(GUG)E1,,Upstream,chrv,207114,207560,+,-20,Msn2-chr05-207353,y,0.260825979,-0.586951145,0.730498679,0.904364245,0.465576078,0.434115371
YER026C,CHO1,Exon/CD,chrv,207562,208072,-,657,Msn2-chr05-207817,n,0.081361506,0.094999321,0.044370747,-0.033569754,0.280593237,0.912790938
YER035W,EDC2,Exon/CD,chrv,222570,223176,+,234,Msn2-chr05-222609,y,0.066793264,1.583324494,1.66044295,1.260751523,0.905034025,0.491663646
YER037W,PHM8,Upstream,chrv,225386,225832,+,-280,Msn2-chr05-225629,y,-0.836564215,0.839033605,1.814360958,1.436386848,0.711466385,-0.114280595
YER043C,SAH1,Exon/CD,chrv,236618,237544,-,38,Msn2-chr05-237081,n,-0.133437257,0.428629544,0.685875631,0.17890847,0.057324707,0.433926925
tQ(UUG)E1,,Upstream,chrv,249770,250536,+,-133,Msn2-chr05-250174,y,0.169909717,-0.074473702,0.68089433,1.008413834,0.336669927,0.256278149
YER052C,HOM3,Exon/CD,chrv,256298,256712,-,1453,Msn2-chr05-256505,n,0.062657061,-0.747299107,-0.220580222,0.184060099,0.087566849,-0.198316004
YER053C,PIC2,Exon/CD,chrv,259050,259752,-,238,Msn2-chr05-259401,n,0.203917626,0.115694978,0.419522747,0.668666674,0.504417098,0.506472856
YER053C,PIC2,Upstream,chrv,259274,260680,-,-338,Msn2-chr05-259977,y,-0.105681177,-0.135204322,0.886640614,1.058651097,0.197313653,0.394187037
YER053C-A,,Upstream,chrv,260938,261320,-,-83,Msn2-chr05-261422,y,-0.075650876,0.098270691,0.676207563,1.032389317,-0.044039499,0.804121112
YER055C,HIS1,Upstream,chrv,265898,266376,-,-352,Msn2-chr05-266121,y,-0.40113359,0.001372966,0.941060577,0.765845593,0.051969641,-0.129993856
YER056C,FCY2,Exon/CD,chrv,266474,266920,-,1416,Msn2-chr05-266697,n,0.323293145,0.564275263,0.368815819,0.372489737,0.432907052,-0.148167607
YER056C-A,RPL34A,Intron,chrv,269738,270152,-,240,Msn2-chr05-269945,n,0.391500886,-0.614669042,0.203924127,0.400255642,0.013803331,-0.253560406
YER058W,PET117,Exon/CD,chrv,271690,272040,+,97,Msn2-chr05-271865,n,0.249096674,0.165092754,0.582201989,0.366945619,0.700545728,-0.401062637
YER059W,PCL6,Exon/CD,chrv,273610,274088,+,1225,Msn2-chr05-273849,n,0.154419166,-0.204193038,0.070259687,0.097134313,0.172049672,0.721572235
YER060W,FCY21,Upstream,chrv,274090,274472,+,-286,Msn2-chr05-274281,n,-0.211331977,-0.488151216,0.297421025,0.676502823,0.067957988,0.107897563
YER062C,GPP2,Upstream,chrv,280554,281576,-,-383,Msn2-chr05-281065,n,-0.100940061,0.627821018,0.776743259,0.282242464,0.015242072,-0.19298301
YER063W,THO1,Exon/CD,chrv,281738,282248,+,283,Msn2-chr05-281993,n,0.710052794,0.957667594,0.66283846,0.42662428,0.703408406,0.494318551
YER064C,VHR2,Exon/CD,chrv,283914,284296,-,117,Msn2-chr05-284329,n,0.649045231,-0.139315761,0.234358263,0.853662956,-0.057391424,0.49044582
YER064C,VHR2,Upstream,chrv,284234,284840,-,-315,Msn2-chr05-284681,y,-0.013588219,1.122542308,1.531192201,1.140596524,0.768482913,0.165141229
