chr	start	end	pvalue	intensity
1	22586.37984	22762	0.00098286	4.262545691
1	26992	27052	2.13E-05	55.92688615
1	45062	45251.5	0.007721467	3.659900903
1	50712	51023.24823	0.005954755	6.318357671
1	62220.5	62515	0.003830618	3.013479455
1	81251.5	81341.5	6.15E-05	2.080116755
1	92731.5	92902	0.000142674	7.963101378
1	114641.5	114782	0.000123413	15.98475769
1	127472	127721.5	0.000360499	4.620168083
1	137506.9813	137755.7922	0.001475817	3.929712132
1	158602	158881.5	0.005902696	2.818062358
1	162581.5	163052	0.000577699	2.315651481
1	172771.5	172831.5	0.004151671	0.889055589
1	205762	206242	2.51E-05	9.692723081
1	235002	235191.5	0.00016466	7.381403414
1	238621.5	238801.5	0.000951961	1.496772287
1	251061.5	251361.5	0.004397353	0.930880466
1	262202	262631.5	3.00E-05	4.00002659
1	264511.7052	264826.4878	0.003664235	0.642505727
1	278021.5	278042	0.000405512	13.41373185
1	292952	293171.5	6.56E-05	11.45927301
1	336532	336751.5	9.07E-05	12.20232414
1	337252	337531.5	0.000742193	3.686142286
1	338632	339001.5	0.001941604	3.61273024
1	342821.5	343031.5	0.000207536	1.883447524
1	364461.5	364542	0.002063594	5.834152027
1	368391.5	368562.1658	0.000405704	1.146808511
1	404002	404221.5	0.002699597	3.529536514
1	441821.5	441971.5	0.003558155	0.860780598
1	450681.5	451011.5	0.002680758	0.928877987
1	482502	482661.5	0.000920975	3.491085099
1	492491.5	492551.5	0.000253978	1.309180078
1	498801.5	498981.5	0.004666494	0.877150649
1	519502	519871.5	5.47E-09	4.718724997
1	534502	534532	2.13E-05	33.04508441
1	539502.0465	539736.7427	0.000187467	8.844623792
1	554512	554551.5	9.02E-05	10.35416752
1	574451.5	574721.5	0.000467461	1.755480237
1	579681.5	579861.5	0.00017965	1.350802644
1	582321.5	582492	0.000192895	6.885585564
1	590621.5	591041.5	0.000571368	1.074575163
1	619231.5	619492	1.90E-06	58.17973742
1	637816.5	637846.5	0.002182456	1.262050046
1	638702.0309	638912	0.000834201	12.99143337
1	656291.5	656411.5	5.00E-05	1.52800604
1	663321.5	663591.5	5.25E-06	10.86942177
1	673892	674012	3.74E-05	37.60119605
1	691811.5	692012	0.000204196	13.2473614
1	711411.5	711711.5	0.007416438	0.875361747
1	713592	713781.5	0.003266168	3.6005628
1	715981.5	716281.5	0.000391019	1.614087791
1	730641.5	730971.5	0.000837348	1.024996801
1	737011.5	737351.5	0.008396561	0.798620253
1	785791.5	785911.5	0.004630174	1.186836653
1	793551.5	793761.5	0.008835206	1.107573564
1	805622	806012	4.99E-05	9.688892957
1	809001.9586	809026.455	0.001071305	12.39453993
1	838841.5	839132	0.00314032	3.052212345
1	851899	851989	0.00521828	0.882855765
1	897001.9809	897056.7932	0.000489553	22.73143399
1	918241.5	918301.5	4.83E-09	4.321908285
1	965761.5	966082	7.42E-05	14.39759912
1	968501.5	968502.0535	0.000699741	25.72759084
1	977001.5	977181.5	0.000239005	1.879014853
1	987671.5	987731.5	0.00107598	1.210778826
1	1003331.5	1003412	0.000120377	17.51905258
1	1016221.5	1016461.5	0.001956024	1.01749613
1	1042002	1042191.5	0.011414415	2.375268285
1	1043502	1043511.5	2.72E-05	33.07880004
1	1046881.5	1046902	0.000376748	26.41726282
1	1048786.5	1048816.5	0.000252506	1.624696675
1	1051781.5	1051982	0.001229193	5.665045965
1	1074981.5	1075272	0.002421146	3.136953591
1	1121081.5	1121252	0.004499473	3.85515463
1	1140462	1140492	0.0052759	5.897912436
1	1141461.5	1141611.5	0.001660262	0.898283551
1	1183000.64	1183001.5	0.015343472	2.576173628
1	1183931.5	1184162	0.000896786	5.135231013
1	1208451.5	1208502	0.002412757	4.293096985
1	1238352	1238841.5	1.04E-06	10.56308227
1	1247221.5	1247521.5	0.001187541	1.140603013
1	1254171.5	1254431.5	8.55E-06	2.615579951
1	1260511.5	1260841.5	0.002367077	0.962529411
1	1266302	1266731.5	0.000343345	2.103001102
1	1281477.066	1281491.991	0.000259494	40.8000636
1	1290501.5	1290522	0.001089717	6.073661558
1	1295431.5	1295671.5	0.001220708	1.081579738
1	1298352.262	1298649.041	0.00105848	17.78927837
1	1323192	1323492	0.005126889	6.327866493
1	1336816.2	1337091.5	0.002329214	1.083106971
1	1377811.5	1378042	0.000119933	30.82029843
1	1380546.986	1380672.061	0.000434174	8.755523401
1	1392061.5	1392378.632	0.003840581	1.27016063
1	1397916.637	1398131.5	0.000286959	1.263427169
1	1414982	1415231.5	0.000373788	21.03843503
1	1421001.5	1421262	0.001652138	5.306287863
1	1429021.5	1429231.5	0.001713371	1.317928276
1	1430512	1430792	0.00022614	23.29234234
1	1443502	1443511.5	0.00159073	6.742286075
1	1453041.5	1453371.5	0.006798109	0.914131923
1	1459801.5	1460071.5	0.008884252	0.797682992
1	1463794.605	1464122	6.76E-05	6.161265148
1	1469922	1470102	4.05E-05	17.91765044
1	1484971	1485001	0.004179003	1.248950865
1	1519311.5	1519341.5	0.002981417	0.912883539
1	1543612	1543852	4.05E-05	24.92520545
1	1544611.5	1544782	0.00239634	4.786730842
1	1610992	1611271.5	0.000650302	21.10888322
1	1615022	1615202	0.000475938	17.48125602
1	1627771.5	1627983.423	0.000185617	15.10420005
1	1641472	1641571.5	0.002591252	4.400282291
1	1651521.5	1651581.5	0.008824033	0.794530676
1	1664231.5	1664561.5	0.002995732	1.275923196
1	1724551.5	1724812	0.004676747	4.119987882
1	1751961.5	1752012	0.000686737	20.51778313
1	1762832	1763162	0.000119257	37.27982673
1	1764761.5	1765052	0.000831783	5.382100343
1	1768272	1768521.5	0.013076104	2.198339013
1	1784622	1784751.5	0.000120377	11.19214888
1	1826951.5	1827041.5	0.006657881	0.809961644
1	1831965.635	1832292	0.013900519	2.800931143
1	1865071.075	1865326.61	0.003698129	0.91514604
1	1886782.192	1886858.636	0.00781122	1.089734796
1	1907002	1907011.5	6.82E-06	39.24254449
1	1942136.966	1942371.508	6.68E-06	43.83582247
1	1956892	1956982	0.000109048	28.79693967
1	1958166.696	1958501.972	0.000419611	7.875186397
1	1980122.136	1980156.797	0.012845529	2.696429725
1	1997511.5	1997802	0.007847792	3.239064478
1	2003122	2003461.5	0.004880928	4.524397763
1	2004862	2005102	0.003725901	6.461845177
PNRC100	126191	126491	0.003965474	7.51616393
PNRC200	20892	20952	0.00136273	9.204277326
PNRC200	38912.85243	38992.5241	0.010996684	4.752957795
PNRC200	42664	42994	0.001828173	8.312878787
PNRC200	76492	76672	0.007412061	5.681548983
PNRC200	113732	113921.5	0.000447383	3.758917923
PNRC200	114452	114941.5	7.58E-06	2.908976562
PNRC200	115605.8211	115682	0.000240716	3.580668428
PNRC200	116081.5	116141.5	0.000921611	1.154991913
PNRC200	118611.5	118881.5	6.97E-08	3.17599575
PNRC200	139432	139561.5	0.000103878	9.19888941
PNRC200	181001.5	181172	0.000127959	4.45608088
PNRC200	241522	241792	0.016021508	4.013547487
PNRC200	260492	260672	3.74E-05	22.25340217
PNRC200	288802	289081.5	0.00228844	4.504996398
PNRC200	290482	290551.5	0.00200741	5.290416087
PNRC200	299742	299781.5	0.0118933	2.323003679
PNRC200	314532	314751.5	0.00088376	7.578865743
PNRC200	315741.5	315762	0.000128028	5.159510024
PNRC200	329492	329801.5	8.57E-05	11.73811371
