ID,coding/noncoding,chromsome,Start Position,Stop Position,Strand,wild-type T4 min,wild-type T8  min,wild-type T12  min,wild-type T16  min,wild-type T20  min,wild-type T30 min,wild-type T40 min,wild-type T60 min,wild-type T30  min rep2,wild-type T30  min rep3,wild-type T30  min rep4,msn2/4ÆÆ t4  min,msn2/4ÆÆÊt8 min,msn2/4ÆÆ t12 min,msn2/4ÆÆÊt16 min,msn2/4ÆÆ t20 min,msn2/4ÆÆ t30 min,msn2/4ÆÆ t40 min, msn2/4ÆÆ t60 min,msn2/4ÆÆ t30 min rep2,msn2/4ÆÆÊt30  min rep3,msn2/4ÆÆ t30 min  rep4
YAL001C,coding,chr01,151007,147775,C,0.23761,0.11568,0.1937,-0.00816,0.17373,0.48982,-0.06639,0.10675,0.77425,-0.03714,-0.00649,0.28085,0.22863,0.17722,0.15716,0.3063,0.30243,0.35763,0.02447,0.30782,-0.14495,0.34482
YAL002W,coding,chr01,143572,147539,W,-0.0512,-0.24298,-0.15928,0.14394,0.47828,0.82034,0.69429,0.43788,0.6363,0.55978,0.34121,0.04598,-0.13792,-0.23107,0.13387,0.11102,0.4852,0.58638,0.43042,0.6573,0.28812,0.35546
YAL003W,coding,chr01,142123,142259,W,-0.3862,-0.6003,-1.35593,-1.80963,-2.21682,-2.78775,-2.67827,-1.81586,-1.43862,-1.00224,-3.36822,-0.34133,-0.56174,-0.74284,-1.12186,-1.48986,-2.26123,-2.21019,-1.71727,-1.60243,-1.8521,-0.7578
YAL004W,coding,#N/A,#N/A,#N/A,#N/A,0.12457,0.63838,0.20374,0.3292,0.32299,-0.69926,-0.13954,-0.12284,-0.33977,-0.47322,-0.25146,1.75789,1.17505,1.68389,0.75464,1.15822,0.82616,-0.26765,0.15358,0.21303,-0.56491,-0.4079
YAL005C,coding,chr01,141535,139327,C,-0.121,0.22586,0.31386,0.56132,0.46788,0.18308,0.28308,0.14408,-0.22279,0.03651,-0.36492,-0.27974,-0.01174,0.14495,-0.39224,0.07246,-0.78886,-0.676,-0.50618,-0.01225,-0.9088,1.28134
YAL007C,coding,chr01,138455,137831,C,-0.25779,-0.52659,-0.32507,-0.44789,-0.57692,-0.53991,-0.4487,-0.32006,-0.64925,-0.49698,-1.2728,-0.0303,-0.28824,-0.35577,-0.34156,-0.32654,-0.76661,-0.43676,-0.23752,0.00921,-0.47642,-0.20802
YAL008W,coding,chr01,136859,137643,W,0.12521,0.59724,0.86841,1.20424,1.30736,1.65078,1.97826,1.50109,0.98887,1.29801,1.09855,0.16706,0.32924,0.22815,0.4768,0.31905,0.78996,0.50218,0.93736,1.97538,0.11476,0.95266
YAL009W,coding,chr01,135811,136611,W,-0.05006,-0.09574,0.02102,0.09901,0.01826,0.24612,0.34017,0.21784,0.36482,0.09575,-0.21469,-0.04939,-0.0813,0.07078,0.20578,0.12065,0.13681,0.02852,0.29337,0.43814,-0.24923,0.40494
YAL010C,coding,chr01,135711,134079,C,0.27238,0.42329,0.67733,0.42998,0.60447,0.53464,0.10567,0.32921,1.17955,0.81142,0.47402,0.2093,0.74556,0.72534,0.58896,1.09657,0.51541,0.815,0.55044,0.27204,0.54154,1.23368
YAL011W,coding,chr01,132195,134099,W,-0.00165,-0.40641,-0.95453,-0.98281,-0.68074,-0.64286,-0.8993,-0.38857,0.14529,-0.75395,-0.49213,-0.26682,-0.72938,-0.62076,-0.73157,-0.40728,-0.20939,-0.3251,-0.24667,-0.89439,-0.85227,-0.30333
YAL012W,coding,chr01,130731,132083,W,0.0121,0.49148,0.3053,0.67477,0.42216,0.05869,0.57871,-0.08019,-0.2259,0.3348,-0.37224,-0.04468,-0.09679,0.22396,0.53782,0.09681,0.18249,-0.3407,-0.2982,0.60968,-0.25728,0.85931
YAL013W,coding,chr01,129211,130563,W,-0.21759,0.20982,0.09164,0.41018,0.24301,0.16666,0.01635,-0.19995,0.47845,0.23578,0.20257,-0.01712,-0.31295,0.30784,0.3698,0.42161,0.36596,-0.23213,-0.32623,-0.27877,-0.47238,1.0279
YAL014C,coding,chr01,129079,126855,C,0.08703,0.15203,0.47805,0.63854,0.59349,0.72331,0.73127,0.74584,0.42671,0.49798,-0.05099,0.19911,0.20462,0.45283,0.57674,0.48112,0.69317,0.30745,0.32029,0.94829,-0.01296,1.06096
